Majority protein IDs,Gene names,ME-180,ME180C13,59M,A2780,A2780CP70,Caov-3,COV318,DOV13,HEYA8,IGROV-1,IGROV1CP,IOSE397,IOSE7576,JHOS-2,JHOS-5,KURAMOCHI,OVCA433,OVCAR-3,OVCAR-5,OVISE,OVKATE,OVSAHO,PEO1,PEO4,SKOV3IP1,SNU119,TOV-112D,TOV112DR,TYK-nu,TYKNUCP
P40123;E9PDI2;A0A087WZ15;A0A087X0J3;B7Z385,CAP2,26.38248,28.02596,28.19263,28.53111,30.51098,27.93899,28.86779,28.58742,29.01233,29.97897,30.13112,29.44942,29.34623,28.14419,27.7611,30.74367,27.39558,26.86691,26.88611,27.18905,26.79551,28.71823,27.81775,26.63381,29.46589,27.59918,28.56275,28.52099,28.77872,27.95005
Q99798;A2A274,ACO2,32.20804,31.75744,31.09654,32.67221,32.23658,32.85099,32.49319,30.87034,31.16573,31.99907,32.10368,31.95968,31.46572,31.80678,31.98702,32.06644,31.80636,31.53204,33.45219,32.05508,33.05593,32.28656,31.43574,30.75502,32.55183,31.27869,32.33982,32.69106,31.61342,31.5097
CON__P06868,,21.80625,20.27549,29.94643,25.04789,22.19231,26.69073,24.48879,23.66861,22.17292,21.62297,22.65065,26.93112,22.38332,26.56526,25.04034,27.71627,22.86993,28.15572,22.2222,21.79329,24.59554,27.72533,31.78683,32.82642,22.24835,31.70087,22.04337,24.38542,24.44979,28.88826
P11172;E9PFD2,UMPS,30.05297,30.98943,29.65427,29.96141,29.77458,28.92048,30.18104,30.35962,30.8136,30.59477,30.36547,30.59833,30.3285,30.11197,30.96168,30.38185,31.11496,32.20224,31.01691,31.04765,30.14722,31.63755,30.12977,30.06574,30.49352,30.71718,30.52094,30.97432,30.47557,30.83801
P23258,TUBG1,28.33752,29.1688,28.94489,28.46108,28.33023,27.99043,27.98577,29.01752,28.58309,29.2144,28.79325,29.90483,28.46057,27.17674,29.01252,28.93615,28.84637,27.94988,29.39421,29.0063,27.93641,28.26977,29.5182,28.4237,29.30345,29.09424,29.47904,28.71152,29.18016,28.12692
O75533,SF3B1,31.8664,31.99988,31.62183,32.75155,32.3689,32.30149,32.10531,31.68975,32.07214,32.36633,32.38872,32.23509,32.04778,31.98087,31.85705,32.11229,31.70066,31.98454,32.57901,32.06776,31.98434,31.73481,32.24819,31.99294,32.22478,32.02175,32.38105,32.59016,32.23118,32.35975
P26599,PTBP1,33.4145,33.38007,33.19638,34.14194,33.70285,32.58546,33.3581,33.84127,33.64033,33.15875,33.23006,33.43452,34.02705,33.65139,33.61872,33.46124,33.33392,33.38407,34.04181,34.11381,32.85241,33.29433,33.47169,33.02021,33.8102,33.65842,33.44443,33.55259,33.38072,33.42979
O95456,PSMG1,28.59402,28.63069,28.39624,29.31352,29.02543,27.91045,28.27004,28.36323,29.1037,28.25228,28.32109,28.54027,29.36822,28.07081,29.16842,27.48754,28.70576,28.63513,28.36857,29.17672,27.66689,28.60622,28.7855,28.60049,29.12546,28.54112,28.13956,28.63817,28.53493,29.56957
P49006,MARCKSL1,27.6215,26.38347,26.54715,30.48779,30.38227,29.46735,29.70594,28.64286,27.38377,28.308,28.51062,27.75353,28.5927,26.13608,28.64551,29.99672,27.93742,30.63677,27.47545,27.67748,27.67485,29.56825,28.39587,29.47586,28.41422,28.89464,28.99145,29.22467,30.28527,30.20338
Q6KB66;CON__Q6KB66-1,KRT80,29.08955,25.10921,25.96279,21.59047,24.44342,28.90317,28.11907,29.10177,23.98633,23.88344,26.16225,23.81029,21.16901,27.20946,28.73867,26.24802,31.08746,28.67825,28.59299,25.67206,30.74783,25.75318,28.3241,27.5423,29.89735,28.20308,22.45146,21.5713,24.98546,23.29964
Q16666,IFI16,31.63062,31.69204,31.72521,21.27355,21.9407,28.56525,28.10909,31.13314,30.91969,23.47964,22.12997,30.65301,29.97951,28.83828,22.15635,30.70289,26.39264,22.79523,29.22731,21.27316,30.45012,23.95837,27.21577,30.15617,28.63893,22.2149,21.76478,29.8261,31.64684,31.29909
P21333,FLNA,36.86591,35.87271,35.70898,34.77564,34.28678,36.50972,36.47307,36.53875,35.6471,36.30093,36.10766,36.23788,36.69903,36.55485,36.18462,36.62691,36.6893,36.35746,35.50249,36.20046,36.0087,35.57009,35.78083,34.92601,36.59641,34.8185,34.47828,34.81431,35.07152,34.13591
Q9UBB4,ATXN10,29.39891,29.46778,29.35085,30.06381,29.95671,29.70881,29.55379,30.87643,29.78186,29.7336,30.11719,29.60828,30.06561,29.13308,29.69141,29.26199,30.57903,29.48566,30.46431,29.93874,28.99194,29.6309,31.36974,29.79849,30.19202,30.09043,29.7747,29.54399,29.14061,30.07814
CON__Q3SZ57,,22.12773,26.52509,32.12983,24.85899,21.52855,26.2404,29.86809,28.80845,25.09229,26.55277,26.23475,26.67869,27.1898,29.47265,29.48047,30.65215,24.69811,28.84891,27.68906,24.02775,29.69705,29.31937,34.3026,34.77117,26.9467,30.41054,26.95238,29.76568,28.76148,32.03489
O60232;H0YEB6;G3V1B8,SSSCA1,26.83774,27.02327,28.32303,27.3585,28.15156,28.88087,28.7506,27.35699,28.42762,27.7433,27.68338,28.15112,28.022,28.14831,29.71989,28.80474,29.03278,29.1981,29.00351,28.53949,28.98136,28.65653,29.56025,28.44419,27.70603,29.35496,25.59585,26.71738,28.27799,28.46435
Q9P258,RCC2,31.74274,31.67274,31.5779,32.50616,31.60267,31.13455,31.81046,30.81757,30.94398,31.28317,31.35453,31.15352,31.1183,30.67775,32.18346,31.58405,30.8811,31.54135,31.55444,31.16291,31.90369,30.37192,31.80943,31.24275,31.87386,32.34549,31.59464,30.73844,30.49762,30.40243
P09874,PARP1,32.55739,32.80203,33.0346,34.07798,32.85144,33.5999,33.3444,32.76402,32.32375,33.36802,33.46696,32.89222,32.64597,32.2308,33.08783,33.48147,32.77107,33.07248,32.72059,32.54428,32.16159,32.81835,31.96465,32.03653,32.89914,33.14771,33.1561,32.97427,33.10517,32.94662
Q32Q12;J3KPD9;P22392;E7ERL0,NME1-NME2;NME2;NME1,33.47303,33.70985,33.66808,33.37968,33.76228,33.0046,34.04262,33.19521,33.98337,33.75583,33.72192,33.76604,33.25307,34.25954,33.63925,33.78498,34.15361,34.29015,34.28313,33.98337,34.89546,33.85879,33.72385,34.03174,33.58139,34.00387,34.4133,33.58889,33.77745,33.62211
O75489,NDUFS3,29.70326,28.88239,29.76466,29.92366,29.78018,29.63367,29.96829,30.25158,29.77756,29.64875,29.46022,29.65345,29.26302,30.0633,30.13455,28.94321,30.36484,29.89455,31.06394,29.95074,29.10299,31.317,29.75371,30.14601,30.02009,29.14904,29.95185,30.49305,30.2209,30.1045
P06396;Q5T0H9,GSN,31.30574,31.55211,30.79413,31.05789,31.96437,32.02042,30.66501,31.22711,30.29044,31.28339,30.89417,30.774,31.57461,33.09596,31.24513,33.7358,32.65107,32.68673,31.57894,32.5215,33.17995,30.96313,31.81898,31.53524,32.58085,30.73271,31.48433,31.81574,32.32764,31.41705
P60228;E5RGA2,EIF3E,31.03774,31.25873,31.79734,31.41266,31.38453,31.02168,30.55737,31.14382,31.65561,31.4665,31.32753,31.53515,31.64955,30.41579,31.08474,31.37358,31.15653,30.86747,31.16752,31.5376,30.23295,30.71227,31.66123,30.92705,30.92245,31.22055,31.24224,31.42892,31.71502,31.31241
Q96GX2,ATXN7L3B,23.46966,24.83533,25.66563,25.285,26.62338,25.24147,23.71806,26.70226,27.00785,24.36085,24.04477,26.54091,26.67209,26.07861,25.75784,25.24876,25.79954,27.03779,27.241,25.61113,26.20085,24.32937,26.02808,27.15287,26.46373,27.28074,25.99947,23.88369,26.29025,25.8628
Q14258,TRIM25,31.07871,30.94949,31.31921,30.37482,30.49324,31.37695,29.60293,31.3157,31.26824,30.96705,30.852,30.25485,30.54066,30.81559,31.15479,31.28664,31.50517,31.47121,31.28983,31.46961,31.54563,30.62061,30.83281,30.66569,31.662,30.71841,30.46119,30.81917,30.50133,30.73675
Q9NZM1,MYOF,34.07893,34.06928,33.1226,27.33739,32.57215,33.52251,31.19789,33.896,32.30506,34.07957,33.79411,31.84007,32.66816,33.34229,32.9269,32.06526,33.564,31.70335,33.04238,35.48193,32.33303,33.16684,32.95558,31.98063,32.16932,33.23863,26.97345,29.30032,32.89663,32.86647
P33993,MCM7,32.00547,32.77551,31.16279,32.01115,32.00286,31.95985,31.34726,31.40634,31.57871,32.07849,32.13596,32.02118,31.4802,30.53111,31.84808,31.17825,31.19554,31.11067,32.09836,30.27209,31.38767,30.4183,31.51766,31.59606,30.76406,31.89948,32.23221,32.33939,32.32887,32.09311
Q16539;B4E0K5;B5TY33,MAPK14,27.9758,28.59235,28.88145,28.08233,28.62774,26.292,28.05791,27.60279,28.29675,27.90501,27.80107,28.90501,28.42514,28.33253,28.89732,29.0642,29.09204,28.07219,28.66669,28.19995,27.25674,28.48643,28.50503,28.05724,28.93385,29.31266,28.4086,28.20974,27.62401,28.00185
P14625,HSP90B1,34.03789,34.21589,33.9769,34.70208,34.46338,34.93746,35.32924,34.60907,34.61165,34.55642,34.45028,34.8386,34.85689,35.2268,34.94009,34.66691,35.57071,34.74264,34.31709,35.00047,34.33011,35.1403,34.21082,34.26877,35.07965,34.55979,35.36971,34.69939,34.21313,33.70079
P51570,GALK1,27.95859,28.20578,28.90627,28.55435,29.24416,28.38311,28.79616,29.36357,28.52731,30.57606,30.37617,29.19967,28.99135,28.85588,27.91114,28.9543,28.47904,29.05605,29.50192,29.82723,29.15976,30.02921,29.61114,29.43157,30.48894,28.46502,28.8036,29.80614,29.24649,29.52914
Q9UHX1;H0YEM1,PUF60,31.32635,31.25451,31.30835,32.03128,31.85326,32.06936,30.93079,31.54757,31.99564,31.60023,31.54425,31.62218,31.82278,31.49367,31.79207,32.41241,31.06997,31.29044,31.94859,31.79792,30.86135,31.04986,31.50801,32.63573,31.69744,32.67327,31.83149,31.83726,31.95868,32.37974
O14818;H0Y586,PSMA7,31.56115,32.26908,32.1521,31.50824,32.184,31.32093,31.96492,31.75681,32.08917,31.84958,32.09921,31.89508,31.86345,31.93393,31.90268,31.6842,31.98692,32.00825,32.15973,32.41883,31.85809,32.20064,31.83387,31.55252,32.53735,31.63733,31.64852,31.71477,31.6372,32.21269
P16333,NCK1,28.15938,29.03784,27.63402,26.51437,27.31501,27.97793,27.66939,26.92309,28.01287,27.47119,27.41796,27.38657,27.29649,27.05383,27.13927,28.10044,27.19065,27.70061,28.3741,26.91296,27.35506,28.01962,27.39869,26.47531,27.74349,27.92133,27.02802,28.03931,27.99938,27.62408
Q12906,ILF3,33.3662,33.03843,32.86415,34.01005,33.56513,33.66087,33.28761,33.09742,33.53427,32.96172,32.96015,33.2259,33.15976,33.66935,32.97268,33.0229,32.84221,32.78115,33.42392,33.56604,32.77618,33.36854,33.77765,33.40831,33.28099,33.22619,33.76109,33.47726,33.14186,33.01825
O14879,IFIT3,26.02899,25.83588,27.88623,27.64616,28.79129,26.91809,23.32937,24.44069,23.55801,27.9506,27.46311,27.62561,27.391,23.87117,28.72722,30.31506,27.84948,23.21309,27.8106,26.75506,25.5813,26.3433,26.71096,29.60904,25.87729,NaN,22.93377,24.38443,28.9587,26.93168
P31350;C9JXC1,RRM2,31.12318,30.36098,29.16828,30.94154,30.8674,30.09974,29.99307,29.68864,31.05827,30.95671,30.66297,30.65062,31.02347,27.30965,29.62546,28.62593,30.0927,30.67034,30.43281,30.40639,28.99424,29.09956,31.41281,30.20163,29.27458,30.387,28.15967,30.20396,30.32206,30.24127
Q8N183,NDUFAF2,28.74089,28.39182,28.93081,30.45552,29.24919,28.61397,27.88803,28.35271,29.17386,27.23068,26.79798,28.72361,28.44778,28.82829,28.81305,26.89041,28.67351,28.0727,29.15567,29.64112,28.57629,28.47212,28.92796,29.29905,28.2947,25.92981,29.00566,29.35702,29.78312,29.96334
Q9BSH5,HDHD3,25.50504,25.68215,25.87556,24.08699,25.64551,27.65785,26.0512,26.01695,26.56142,27.01265,26.91137,24.61133,23.63744,27.11247,26.91114,27.18905,27.01478,27.32612,27.99172,27.2833,29.46498,26.11545,26.17142,26.40059,26.04241,27.66064,25.7757,25.49637,25.67595,25.54271
O00165;E9PIQ7,HAX1,25.65434,25.33296,25.78716,26.71921,26.48045,26.86207,26.84038,25.12995,25.61423,26.01704,26.16573,25.51554,25.79573,25.88409,27.51284,26.95405,27.1334,25.28426,25.92472,25.39467,25.99882,26.21564,26.46445,26.29378,25.57187,27.68532,27.01052,27.61428,27.24835,26.09541
Q01780,EXOSC10,29.61026,30.24445,29.74198,30.8057,30.15702,29.95934,29.33894,29.49776,29.83741,29.76541,29.68077,30.1426,30.29132,29.83073,29.64468,29.55689,29.69725,29.01241,30.17248,29.36932,29.21102,29.11113,29.94615,29.30016,29.84848,29.81259,30.04414,29.73831,29.89376,30.51211
Q9NP81;M0QWZ7,SARS2,28.80756,27.83629,29.85464,31.00778,29.24629,31.67859,29.00485,28.81302,28.81277,29.9327,30.38216,28.61179,27.81397,29.13531,30.3912,30.99118,29.44573,31.74827,30.72931,31.34165,28.95274,29.87564,29.1035,29.67511,30.04218,30.58746,29.35386,29.72247,28.403,28.73925
P78406;E9PQ57,RAE1,29.39129,29.39846,29.06103,29.80511,29.52075,29.63461,29.43531,28.67677,28.94684,28.97946,29.25667,29.02847,29.35359,29.91114,29.34208,29.93916,29.00115,30.07074,29.43261,29.55311,29.1389,30.0803,29.82045,29.44999,29.52004,29.10192,29.33093,29.0901,29.02823,29.49814
P60900;G3V295;G3V5Z7;G3V3I1,PSMA6,31.33517,32.18024,31.58714,31.17528,31.82673,31.68787,31.47,31.41705,31.6986,31.61649,31.89598,31.26897,31.31996,31.50365,31.77537,31.63828,31.89309,31.85069,31.78336,31.92889,31.57619,31.5691,31.48606,31.26103,31.52561,31.7423,31.26902,31.48918,31.38015,31.58379
P30044,PRDX5,33.04485,33.55202,32.33157,31.75123,32.13541,32.51296,32.7415,32.18919,30.172,32.6842,32.27481,31.23752,31.25912,32.72078,32.19255,32.62074,31.70792,32.464,33.28692,32.17893,33.84212,33.63547,31.10749,31.6298,32.51345,33.48244,31.94566,32.20539,32.31371,32.26072
Q9Y2S7,POLDIP2,28.89041,28.38961,28.50612,29.5141,29.28187,29.27438,28.36861,28.26423,29.09245,28.54086,28.72429,28.6362,28.38973,28.19348,28.60424,28.02083,27.93382,28.59185,28.93171,29.70925,27.82633,28.75669,28.96991,28.54639,28.4696,28.00314,29.06853,29.27926,29.05442,29.32277
Q9P015;E5RIZ4;E5RHF4,MRPL15,28.87619,28.48666,29.6348,29.13509,29.30241,29.06833,28.91664,28.74487,28.24277,28.50752,28.54411,28.43992,27.52679,28.69787,28.90147,29.36338,28.64588,28.65171,29.44114,26.73014,28.46276,28.76623,29.52822,28.32526,28.39705,28.87605,28.99723,29.23863,29.00134,29.424
Q7Z434,MAVS,29.62857,29.08732,28.52043,28.43289,29.23681,30.09081,30.13345,29.48437,28.29312,27.79582,28.26548,29.29616,29.59682,29.94573,29.66907,29.04315,29.43948,28.45819,29.77002,30.57894,29.35609,29.47446,28.79659,28.5852,30.84603,27.8568,28.69992,29.39325,28.99623,28.66966
P00367,GLUD1,32.49938,32.56808,32.21289,32.39917,31.72037,31.9321,31.70359,31.61021,31.27919,30.83846,31.06497,31.389,31.36463,32.7189,32.34657,32.44147,31.07431,31.92963,31.73578,33.38934,30.95892,32.70425,32.02973,30.81597,31.57727,32.22866,31.47426,31.37072,31.87383,31.87001
Q8TE68;B4DKV7,EPS8L1,22.10661,22.02076,22.27373,21.41059,21.54482,30.09371,26.87842,20.35943,25.0094,25.12396,25.26678,21.92158,20.80681,22.63052,30.2626,28.75627,28.58939,29.90985,28.9779,29.9011,29.91528,25.66555,25.22711,30.04205,20.89252,30.92068,23.43549,21.39953,21.73508,22.74476
Q9NY33;G3V1D3;G3V180,DPP3,31.2585,31.16447,30.36296,29.67711,30.46022,30.56202,31.02888,31.02148,30.04596,30.27164,30.18305,30.51738,30.23135,31.07769,30.7925,31.48284,31.43241,31.59201,31.28449,30.86327,31.31311,30.7973,31.58414,31.66463,31.36781,31.30579,30.70545,30.67025,30.38546,30.88961
P53004,BLVRA,30.04062,30.11023,30.43788,26.04298,28.92753,30.34953,29.19359,30.45611,28.77696,29.83,29.85436,29.96554,29.60599,29.37888,29.30219,29.56032,30.51672,28.02369,29.27064,30.12003,29.47736,28.85159,29.86846,29.16449,29.80095,28.48297,29.02448,29.00515,28.48389,28.37935
P53367;B4DS69,ARFIP1,29.28769,28.7986,28.59031,28.40296,28.92128,28.59683,28.24209,28.89493,28.70283,29.5549,29.57629,29.12657,29.01678,28.10149,29.24769,28.89111,29.38049,29.15906,30.18837,28.62784,28.64103,28.26387,29.33731,28.88373,29.09617,29.41613,28.21229,28.65147,29.00185,28.93416
O43396;K7ER96,TXNL1,29.53605,29.85369,29.79971,30.94252,31.39468,29.93241,28.99083,31.05898,29.91897,30.95546,31.13149,30.62436,30.73578,30.58996,31.83932,28.91428,30.24207,30.95671,29.03564,29.84357,30.34117,30.01757,31.37829,31.23238,31.18595,29.86688,30.24683,31.18612,30.49543,30.66611
Q00325,SLC25A3,32.14695,31.65092,32.13094,32.84097,32.53325,32.07304,32.2681,32.22127,32.36375,32.18166,32.30473,31.87588,31.73441,32.99857,31.91324,32.53591,32.46417,32.37446,31.72004,32.2881,32.29176,32.29912,32.54837,31.99722,32.76103,32.88649,32.41803,32.40809,32.1019,31.9675
P31040;D6RFM5;A0A087X1I3,SDHA,32.15225,31.31921,30.41881,30.91634,30.81046,31.97093,31.48659,30.40872,31.01159,30.96884,30.92323,30.90555,30.72452,30.95595,31.05252,31.14498,31.29165,30.27586,31.8609,31.27159,31.60236,31.79919,31.91453,31.16872,30.90433,30.79413,31.11042,31.42152,30.07406,29.61298
P46782;M0R0F0;M0R0R2;M0QZN2,RPS5,32.14464,32.40639,32.60735,32.41319,32.67921,32.92063,32.82291,32.2603,33.37373,32.71861,32.73032,32.77058,32.8127,33.19885,33.16967,32.58237,32.90863,33.28994,32.74182,32.68988,32.66917,32.75031,33.06522,32.78657,32.36069,32.10674,32.78679,32.66977,32.91187,32.97235
P39019;A0A075B6E2,RPS19,32.87375,32.88467,32.97547,32.97309,32.79196,33.35901,32.57698,32.64042,33.6358,32.57254,32.81412,33.00077,32.80762,33.05404,32.64506,32.32136,32.06977,33.19683,32.60443,32.97123,32.41349,32.39798,32.77992,33.22762,32.37653,32.14482,32.71925,32.54533,32.9846,33.22849
O00625,PIR,29.52675,30.72061,30.56074,27.36953,28.63017,25.76603,26.21686,28.14739,24.19516,30.32903,30.48203,28.50078,28.44652,25.40912,29.41504,28.4289,25.28711,26.7326,29.72881,31.07476,28.18707,27.14734,24.16415,26.12455,29.96582,28.37774,30.83763,31.05814,29.04531,28.24232
Q13442,PDAP1,30.24014,30.78558,29.24803,30.54379,30.49572,30.76493,30.91221,30.38288,30.31668,30.28394,30.6459,30.56293,30.71424,30.38195,30.66357,30.14504,29.81739,30.81368,30.59575,30.29877,30.89865,31.00899,30.80216,30.95768,29.65392,30.1126,30.35909,30.22309,30.63945,30.11979
P49585;C9JEJ2;C9J050,PCYT1A,29.98182,29.68602,29.28476,27.88303,29.85992,28.4635,27.95294,28.71905,29.24075,27.77631,28.00635,28.57181,28.83035,29.37944,27.6637,29.32374,29.9556,28.28529,28.94103,28.48754,29.92167,28.13883,29.41752,29.15214,27.82681,30.02578,28.4415,29.95019,29.22182,28.01446
Q9ULC4,MCTS1,29.99213,30.08752,29.74116,29.18404,29.64521,29.67455,29.91698,29.55914,29.98251,28.38336,28.74634,30.08436,30.44421,29.96003,29.92564,29.33728,30.4512,30.32131,30.28262,31.07565,29.46172,29.91385,29.73675,30.09635,30.59904,29.84352,30.46918,30.08423,30.6391,29.67786
Q4V328,GRIPAP1,29.45071,28.47927,27.09517,28.37381,28.14336,29.24694,28.41426,27.46139,26.84589,28.24368,28.07148,27.56718,28.27217,26.92592,27.79086,26.70213,27.94576,26.93921,27.87918,29.3652,28.54712,28.79947,28.34418,28.5139,29.0439,28.79247,29.32444,29.56765,29.2278,28.19263
Q9H4A6,GOLPH3,28.77511,28.62195,28.34752,28.06774,28.01052,28.39697,28.14817,27.81592,27.45662,28.50862,27.82566,28.12761,28.7239,26.64787,28.19596,28.41438,28.0427,27.88547,28.10849,28.21947,29.13055,28.49198,28.61182,27.37625,27.86142,28.12213,28.12139,27.91274,27.6571,28.15291
Q9BV19,C1orf50,24.94442,25.08966,25.44601,25.20137,25.58643,26.00142,26.40553,26.5188,26.49186,25.96552,25.88337,25.96607,26.82129,25.58282,25.88974,25.19918,26.77316,25.46111,25.79042,26.8242,26.78044,26.01971,24.91014,NaN,26.76838,24.81953,25.84592,24.97714,26.41688,26.81629
Q9UL15,BAG5,27.45128,28.12204,27.09738,27.86331,28.12893,28.27954,28.38706,28.2695,27.61281,27.18054,27.3616,27.48024,27.64499,28.31519,27.76749,27.73305,28.34232,28.62366,27.4753,28.49591,27.96224,27.02295,27.7211,27.60329,28.8147,27.40381,28.31199,27.94391,27.40332,28.02126
Q9BZX2,UCK2,27.21993,28.03034,27.31069,29.31741,29.75447,25.97729,28.47096,28.21974,29.09818,28.12628,28.17398,29.00346,29.25011,27.0748,28.72032,27.69292,28.36369,28.11956,28.36716,28.01717,27.76825,27.31173,29.75648,28.35796,27.44095,28.54712,28.22034,29.5998,28.82202,29.42726
Q9Y5B9,SUPT16H,31.94921,32.29756,32.4281,33.19876,32.66816,32.77343,32.08689,31.9529,32.4451,32.26033,32.33762,32.41916,32.4527,31.86334,32.72673,32.04502,31.18317,31.81165,32.50775,31.79889,31.55275,31.02683,32.01375,32.47989,32.27142,32.42517,32.80993,32.83436,32.01933,32.54722
Q9Y6B6;Q9H029;D6RD69;D6R9R5,SAR1B;DKFZp434B2017,27.91074,27.45529,27.92909,27.39272,27.92428,28.5932,28.51386,27.28991,28.22426,28.06121,28.01595,28.55157,28.54038,28.02142,28.12223,28.31514,29.59831,27.73667,28.82372,27.97191,28.89331,28.3265,27.44213,27.63374,28.50809,28.00673,28.13995,28.94782,28.75516,27.56289
Q9UL26,RAB22A,26.69644,26.86207,26.55701,26.75888,26.18788,25.90743,26.58578,25.542,26.28678,25.58563,25.63267,26.52753,26.00747,27.70675,24.78681,26.59106,27.19957,26.46613,26.53482,25.53008,27.43197,27.59605,26.31852,27.46638,26.92048,26.04646,26.7313,26.94748,26.23726,26.35224
Q16540;A6NJD9;A8MVT4;A8MYK1;H7C2P7,MRPL23,27.46817,26.54756,27.31354,28.04077,27.58663,27.34469,26.84338,27.1044,26.52773,26.71358,26.57629,26.82153,27.0316,26.81066,27.09768,27.79557,27.56078,27.23133,27.73718,25.76716,26.92818,27.47414,27.72078,27.51375,26.85329,27.40609,27.45842,27.15354,27.5553,28.02374
Q9HCC0;D6RD67,MCCC2,30.14407,29.6582,29.92691,30.37658,30.13467,29.75723,29.60295,29.30609,28.85451,30.0879,30.3713,29.01087,28.69152,28.99321,29.54298,30.58226,30.33596,29.83015,30.48721,30.57389,30.09685,30.17129,30.05206,29.80155,29.1818,30.06471,29.11324,28.99491,29.94754,29.88795
P24534,EEF1B2,32.30769,32.16914,32.95619,32.47373,32.67167,32.76373,32.48968,32.06866,32.75424,32.65578,31.95958,32.36286,32.99917,32.06423,32.84492,32.30723,31.52575,32.82384,32.87425,32.23063,32.35287,32.27944,31.64856,32.60368,32.28035,32.28107,32.01804,32.16959,32.62168,33.06191
Q9GZV1,ANKRD2,21.35842,24.69073,22.01978,20.4725,19.55861,25.58772,25.52865,NaN,NaN,29.42334,31.87478,20.32914,22.20024,23.97024,23.86335,22.7065,21.70599,25.73394,24.27391,27.40836,27.45387,22.97372,23.07081,25.56296,22.22252,24.40158,22.81675,NaN,NaN,NaN
O95831,AIFM1,31.45875,30.52318,31.0189,31.90085,31.44045,32.0445,31.93975,30.78776,30.1689,30.91769,30.9821,30.59459,30.14455,31.55714,31.09018,31.66996,29.68392,31.73558,30.97705,32.01149,30.60585,32.43971,31.11595,31.02967,31.24082,31.46796,31.86526,32.56697,31.81826,30.89331
S4R3N1,,32.46917,31.73916,32.63131,32.94609,32.70221,32.93356,33.11929,32.53427,32.46022,32.39652,32.41923,32.13974,32.50595,32.36171,32.58482,33.03061,32.53143,32.00768,32.991,33.26052,32.61404,32.87265,32.84879,33.1697,33.04671,32.61201,32.4182,32.27789,32.33253,32.61842
Q9NQW7;Q5T6H7,XPNPEP1,29.55076,30.02075,29.90899,29.21792,30.63651,29.86536,30.15822,29.90038,28.98617,30.02102,30.17045,29.95046,30.19917,29.83852,30.90942,30.42572,30.25609,30.16135,30.26785,30.55563,29.46391,30.43201,30.36567,29.90354,30.33287,29.52105,30.29778,30.65156,30.52701,30.62888
Q15785,TOMM34,30.39816,30.06394,29.8501,30.44638,30.67624,30.44303,28.9028,30.00102,31.66306,29.33892,29.43227,30.19484,30.45699,29.54585,29.29452,30.96891,31.40603,29.78226,29.96155,30.21304,29.13927,31.17421,30.26204,30.27064,30.5285,29.61786,30.00651,29.68672,30.54885,31.02868
O00231,PSMD11,32.04817,31.74979,31.91217,31.60218,32.24955,31.69748,31.82339,31.71522,31.73582,31.85671,32.03019,32.13495,32.07855,31.78542,31.94973,31.16854,31.76339,31.77313,32.53758,32.04742,31.50961,31.50052,32.05349,31.38941,32.3736,31.55623,31.77392,32.02739,32.02264,32.58764
P78527,PRKDC,34.0672,34.4388,34.023,34.8983,34.22705,34.06085,33.60421,34.22022,34.80947,33.45721,33.46136,34.53067,34.05164,33.92185,34.35567,34.80583,33.97289,34.54668,34.27128,34.73524,33.97263,34.11753,34.37082,34.15519,34.41545,34.57587,34.87802,34.96443,34.70105,34.3942
P82909,MRPS36,28.47387,27.91775,27.48293,28.86959,28.77411,29.18761,28.41764,28.28472,27.95405,28.19272,28.41034,28.20299,28.36532,28.20914,28.01201,28.33735,28.50771,28.63647,28.94081,28.19925,28.9592,28.87883,28.91624,28.64818,28.13985,28.49175,27.68686,28.49941,28.79903,28.70418
Q14974;J3KTM9,KPNB1,32.92398,33.23321,33.56785,33.01027,33.38381,33.22805,33.28898,33.25448,33.29762,33.8362,34.07168,33.76248,33.71477,32.96056,33.29789,33.13764,33.77166,33.37516,33.23363,33.66352,33.6051,32.97993,33.46453,33.32603,33.24912,33.67745,33.96318,34.03936,33.12432,32.94012
Q8NBQ5;D6RCD0,HSD17B11,24.10877,26.00509,29.6518,29.52055,28.58842,30.68428,28.88733,28.97869,27.55296,28.26343,28.02965,27.81903,27.96642,28.78404,29.4124,27.99566,26.92875,27.92128,30.09698,28.76765,27.63326,28.48104,29.28134,28.82481,27.50438,29.34469,29.4822,30.19648,29.16219,29.1184
P07384,CAPN1,32.84773,32.74969,31.46772,30.12792,30.87313,31.66974,31.02986,31.94629,30.38061,31.5351,31.39182,30.82381,31.18477,31.494,32.20955,31.88765,32.95414,32.49605,32.19648,31.82411,33.0083,31.4513,32.95345,32.51411,31.33085,33.18049,30.73643,31.46509,31.98465,31.97951
Q9H425,C1orf198,23.75725,21.71586,24.58078,24.36693,25.16031,26.25807,30.59352,25.26885,22.67575,25.8327,26.07224,22.36557,28.28211,26.96653,26.54984,29.62659,25.00447,26.12629,23.89338,25.25785,29.50879,27.02369,24.67266,26.72495,25.01295,29.89923,30.24434,25.1303,25.41028,23.94637
Q9HB07;F8VQQ3;F8VR84,C12orf10,30.01305,29.89481,28.15079,29.19009,29.26906,28.88364,28.73989,28.89206,29.25246,29.58176,29.54412,29.80395,29.53258,28.99938,28.87804,28.83105,29.5272,30.10299,29.91542,29.2963,29.06871,29.41183,29.76888,29.21618,29.6506,28.74336,30.01425,29.90641,29.34166,29.83545
