protein,type,meas,coef,wald,fdr
ACTN4,2.0,19.0,2.42825954609,7.7572394056e-10,3.4218924439212278e-08
ASAP1,2.0,95.0,1.34503622744,8.65161774884e-10,3.7778730836615187e-08
ARFGAP1,2.0,22.0,2.23520447229,8.74056280077e-10,3.7785452987724857e-08
APEX1,2.0,9.0,3.40857411566,9.6395381396e-10,4.1259132056935002e-08
PDCD5,2.0,20.0,2.26533865567,9.73505987001e-10,4.125947433141535e-08
NUDCD1,2.0,66.0,1.43091610718,1.0422791475e-09,4.374536654985962e-08
AIM1,2.0,9.0,3.38015437445,1.17864797384e-09,4.8993222989323794e-08
ARFGEF1,2.0,26.0,2.0351687261,1.27448269262e-09,5.2472273144568863e-08
SEPHS1,2.0,11.0,3.04167967731,1.34202357178e-09,5.4731772649032375e-08
MTPN,2.0,23.0,2.15812058034,1.41414762221e-09,5.7134207203807321e-08
HSF1,2.0,81.0,1.32945444097,1.44993891438e-09,5.8037832655978577e-08
NDRG3,2.0,14.0,2.72157853512,1.58993406411e-09,6.3057660175832279e-08
CLTC,2.0,16.0,2.59402816358,1.66912686617e-09,6.5005724706641125e-08
PUF60,2.0,83.0,1.34054171583,1.65504075917e-09,6.5005724706641125e-08
USO1,2.0,7.0,3.83589235563,1.82327510953e-09,7.0375163379388561e-08
PPIF,2.0,12.0,2.89325373301,1.92814118018e-09,7.3764197539015714e-08
UBE2L3,2.0,9.0,3.31887695435,2.0176498289e-09,7.6511405353937352e-08
MOCS3,2.0,24.0,2.09358047803,2.28456234528e-09,8.5879678422993413e-08
BRD4,2.0,27.0,1.95159364844,2.38425438521e-09,8.8854583683436243e-08
PDSS2,2.0,7.0,3.50192623156,2.43876164552e-09,9.0109116184642304e-08
ANKRD17,2.0,8.0,3.49871299494,2.48820626728e-09,9.0487703101961608e-08
S100A13,2.0,31.0,1.87968482701,2.49749441014e-09,9.0487703101961608e-08
NTPCR,2.0,24.0,2.06697426682,2.51180300075e-09,9.0487703101961608e-08
GOLPH3L,2.0,37.0,1.73662568251,2.56201137161e-09,9.1533679004029618e-08
FAM84B,2.0,98.0,1.27939547656,2.65739257932e-09,9.414434480959326e-08
PIN1,2.0,14.0,2.69765626439,2.67863854073e-09,9.414434480959326e-08
MRI1,2.0,28.0,1.95246634475,2.88669536062e-09,1.0063858099957735e-07
NPEPL1,2.0,22.0,2.13524450427,3.16011554826e-09,1.0928943612114122e-07
IRGQ,2.0,7.0,3.70926767155,3.18715727851e-09,1.0934984853178102e-07
FH,2.0,26.0,1.98856361143,3.21402564502e-09,1.094034083732393e-07
TSC22D4,2.0,13.0,2.71919046118,3.28218785461e-09,1.1085076637100601e-07
OPLAH,2.0,83.0,1.30013643452,3.96906328255e-09,1.323079897702635e-07
ABCF3,2.0,49.0,1.61087103936,3.97872742774e-09,1.323079897702635e-07
RTN4IP1,2.0,8.0,3.3638406963,4.10154005848e-09,1.3535082192992591e-07
EEF1D,2.0,84.0,1.28008897413,4.72739179917e-09,1.5365800562256509e-07
CTPS2,2.0,6.0,3.92067975309,4.69897167515e-09,1.5365800562256509e-07
MAP1S,2.0,17.0,2.47812837937,4.79971679144e-09,1.548445946968873e-07
UBE3C,2.0,25.0,2.0679245695,5.03464849748e-09,1.6122063299694804e-07
DHPS,2.0,21.0,2.1688214097,5.35029189099e-09,1.700684694466847e-07
OXR1,2.0,61.0,1.37900747694,5.55933292415e-09,1.7542333015405777e-07
GLRX3,2.0,7.0,3.63836866321,6.09071837212e-09,1.9079837335270236e-07
FIS1,2.0,12.0,2.8394186379,6.66186336138e-09,2.0718874324639311e-07
FAM213A,2.0,11.0,2.91857181908,6.81491504247e-09,2.1043484091869817e-07
COA4,2.0,17.0,2.38380729852,7.0600494274e-09,2.1645811116771747e-07
GAPDH,2.0,25.0,2.01425123334,7.1997231634e-09,2.1918593827738924e-07
ADPRHL2,2.0,20.0,2.25955395008,7.52433147021e-09,2.2746632829166299e-07
PGLS,2.0,19.0,2.2878628236,7.61030740749e-09,2.2846777029577863e-07
SARS2,2.0,20.0,2.23452967636,7.72512835653e-09,2.3031537851907151e-07
CC2D1A,2.0,30.0,1.89577725193,7.86290631915e-09,2.3281742477852147e-07
EPN3,2.0,12.0,2.78601664518,9.81436425264e-09,2.8862242628695445e-07
CPPED1,2.0,7.0,3.59727270682,1.07904033885e-08,3.1518185032649354e-07
RSF1,2.0,28.0,1.85333952093,1.09396689078e-08,3.1739723952052886e-07
DCK,2.0,8.0,3.3238198465,1.14752441257e-08,3.3071653570215391e-07
NUMA1,2.0,17.0,2.38755076334,1.16635974047e-08,3.3378722471600438e-07
ANP32E,2.0,32.0,1.75074421239,1.17362151647e-08,3.3378722471600438e-07
AAMDC,2.0,31.0,1.77451109055,1.28198986505e-08,3.6222497951764257e-07
SPINT2,2.0,20.0,2.12560245489,1.3734717112e-08,3.8555313035789713e-07
PCYT1A,2.0,40.0,1.66368096495,1.42605309066e-08,3.9773080715718705e-07
TAGLN2,2.0,20.0,2.14813653669,1.43758791536e-08,3.9837772808479357e-07
UBL5,2.0,14.0,2.55997112388,1.52663361263e-08,4.203590514258647e-07
TRMT1,2.0,28.0,1.90111641541,1.58405622158e-08,4.3340981303191612e-07
CALU,2.0,18.0,2.30264120567,1.61056366552e-08,4.3789098905865513e-07
ZMPSTE24,2.0,24.0,1.99467580625,1.66258855255e-08,4.492106445422257e-07
SPAG9,2.0,13.0,2.71726274872,1.69161931702e-08,4.5421554704785995e-07
PITPNA,2.0,6.0,3.83779210665,1.72388148029e-08,4.5719875087661198e-07
TACC3,2.0,14.0,2.49415966126,1.71445573925e-08,4.5719875087661198e-07
ADAR,2.0,27.0,1.90369093974,1.76991617162e-08,4.6654558596933712e-07
CARM1,2.0,22.0,2.08823383289,1.88176777301e-08,4.9302315652833946e-07
AKT2,2.0,15.0,2.43888916497,2.05058928948e-08,5.3401792159050753e-07
ARHGEF5,2.0,21.0,2.14425795749,2.10007369216e-08,5.436298545621033e-07
NUDT5,2.0,14.0,2.52192192427,2.28877874279e-08,5.8895181577794122e-07
PRUNE,2.0,37.0,1.60250246034,2.41325122261e-08,6.1730680682496723e-07
CORO1B,2.0,13.0,2.64743497367,2.44295830652e-08,6.2122992700477294e-07
FDX1L,2.0,19.0,2.14086896858,2.51466061979e-08,6.3202778252009933e-07
WARS2,2.0,12.0,2.69155228838,2.50540052064e-08,6.3202778252009933e-07
WIPF2,2.0,10.0,3.00215663566,2.55597211029e-08,6.3869753946604874e-07
CDK5,2.0,23.0,2.02948993833,2.69709596056e-08,6.7008884123550122e-07
BPTF,2.0,16.0,2.34942496086,2.72352155221e-08,6.7278763829833865e-07
QRSL1,2.0,10.0,2.92338325734,2.75298580141e-08,6.7620213747136992e-07
ARHGDIA,2.0,15.0,2.4394359338,2.85740805159e-08,6.9788559361639483e-07
TOP2A,2.0,7.0,3.51618154849,2.95676929795e-08,7.1809627387969675e-07
PROSC,2.0,10.0,2.94800356433,2.99597189924e-08,7.2355231957602485e-07
SDAD1,2.0,7.0,3.40476274029,3.03522557154e-08,7.2493260473794277e-07
DDHD2,2.0,11.0,2.68848127319,3.02933800597e-08,7.2493260473794277e-07
FTSJ3,2.0,17.0,2.30240547443,3.07578103162e-08,7.3058249448979041e-07
SAMD4B,2.0,20.0,2.0965873834,3.16417830276e-08,7.4340993493600824e-07
PRDX6,2.0,21.0,2.07540122554,3.15075845716e-08,7.4340993493600824e-07
DLGAP4,2.0,16.0,2.3431434743,3.23764444318e-08,7.5655875285656966e-07
PPP1R2,2.0,41.0,1.58420790584,3.39484907508e-08,7.8902863180563948e-07
ARMC10,2.0,14.0,2.47652634125,3.68662927209e-08,8.5226194348834371e-07
POLB,2.0,17.0,2.18475610405,3.7203351338e-08,8.5547919060633224e-07
AKAP8L,2.0,24.0,1.954361399,3.92645585214e-08,8.9809887030632963e-07
HCCS,2.0,5.0,4.00937356268,4.48620619993e-08,1.0207299685408419e-06
DNAJC21,2.0,11.0,2.71886901484,4.68546322833e-08,1.0604846877527193e-06
CPNE3,2.0,31.0,1.74923462837,4.91242398778e-08,1.106062963497925e-06
CTPS1,2.0,25.0,1.92307441939,5.08180551931e-08,1.1324043948434979e-06
ZBTB10,2.0,24.0,1.88051040499,5.05588925362e-08,1.1324043948434979e-06
PRDX2,2.0,21.0,2.0842701948,5.19244321641e-08,1.1511247192065069e-06
LSM14B,2.0,29.0,1.75361172053,5.40483215797e-08,1.18005502115732e-06
NDRG1,2.0,93.0,1.19864895575,5.38541945636e-08,1.18005502115732e-06
MAF1,2.0,70.0,1.31795144951,5.39424335931e-08,1.18005502115732e-06
TACO1,2.0,15.0,2.40775418739,5.57326803789e-08,1.2107154637087311e-06
RRM2B,2.0,55.0,1.35236378146,5.72652995728e-08,1.2377894502655727e-06
TPI1,2.0,24.0,1.94043435457,5.87495229659e-08,1.2635531730428649e-06
ISOC2,2.0,8.0,3.23313502255,6.02305045211e-08,1.2889924309151661e-06
PRKRA,2.0,14.0,2.46666550489,6.39121735908e-08,1.3610459430197112e-06
PIP4K2B,2.0,8.0,3.26430741123,6.70311905599e-08,1.4204697881886157e-06
VDAC2,2.0,14.0,2.4623451382,6.94000877526e-08,1.4634955090455693e-06
ACACA,2.0,7.0,3.43966999805,7.4627586106e-08,1.56609249871984e-06
EPRS,2.0,21.0,2.04321007562,7.51353610803e-08,1.5691312364749921e-06
C1orf50,2.0,16.0,2.25456679501,7.67398170332e-08,1.5949337934354319e-06
HSPBP1,2.0,9.0,3.00978782473,8.51878927082e-08,1.7620443070698035e-06
ECT2,2.0,45.0,1.53783064869,8.64729563299e-08,1.7801075724477529e-06
CMPK1,2.0,14.0,2.43463278384,8.86859845211e-08,1.8170119008763658e-06
GRSF1,2.0,6.0,3.71184583568,8.96068116803e-08,1.8272181457262856e-06
KRI1,2.0,20.0,2.05755048901,9.25715531467e-08,1.8788113814705948e-06
KPNA6,2.0,11.0,2.65221441796,9.83040771759e-08,1.9858342319230557e-06
SNIP1,2.0,19.0,2.03813129503,1.03722266139e-07,2.0855411931150063e-06
DHRS7B,2.0,6.0,3.66656690978,1.09953496879e-07,2.1943712907224132e-06
WBP2,2.0,20.0,2.03199391513,1.10150027779e-07,2.1943712907224132e-06
RCHY1,2.0,6.0,3.50030501937,1.29873169026e-07,2.575420686704068e-06
PLEKHF2,2.0,44.0,1.42997087235,1.33752656512e-07,2.6402407949821433e-06
IMPACT,2.0,8.0,3.05493956535,1.39015301996e-07,2.7192902738766835e-06
ROMO1,2.0,17.0,2.20071311851,1.38667040118e-07,2.7192902738766835e-06
KEAP1,2.0,17.0,2.11730819211,1.40710456512e-07,2.7400509166797741e-06
ERC1,2.0,28.0,1.73222086195,1.50316662078e-07,2.9139862339244207e-06
GPATCH1,2.0,16.0,2.20106426313,1.71326408163e-07,3.3064467075375431e-06
PI4KB,2.0,31.0,1.59048251905,1.83989026698e-07,3.5350424996187065e-06
UROD,2.0,15.0,2.29517751552,1.93090781674e-07,3.677231053643183e-06
ETNK1,2.0,12.0,2.39044485925,1.92655038566e-07,3.677231053643183e-06
CLK3,2.0,5.0,3.79450600972,1.95441092532e-07,3.7056659781355291e-06
UBA1,2.0,10.0,2.76644846135,2.10815882266e-07,3.9797251486292628e-06
TNPO2,2.0,21.0,1.9551795299,2.25452640321e-07,4.2375294091570805e-06
TARS,2.0,17.0,2.14997261776,2.36578228757e-07,4.4273925667301565e-06
JMJD6,2.0,18.0,2.0630520743,2.39514364463e-07,4.4438652256308781e-06
HNRNPA2B1,2.0,8.0,3.03379817767,2.3898832925e-07,4.4438652256308781e-06
STAU1,2.0,19.0,2.01692844968,2.4111550097e-07,4.4544543192092191e-06
G3BP2,2.0,7.0,3.27130558686,2.51700528501e-07,4.6302186583323841e-06
LSM1,2.0,12.0,2.39022143375,2.68507136458e-07,4.9184591140080097e-06
GTPBP1,2.0,6.0,3.51413191603,2.76105660227e-07,5.0363070428722045e-06
PIK3CB,2.0,21.0,1.91128739753,2.77896750465e-07,5.047679211186244e-06
TMED1,2.0,20.0,2.01972420757,2.8605204091e-07,5.1740710161207996e-06
BCAM,2.0,9.0,2.88738583048,2.95369357577e-07,5.3203405533543128e-06
ATAD2,2.0,83.0,1.18878557555,2.98452253187e-07,5.3211096750104645e-06
GPI,2.0,19.0,2.02891746755,2.99104707617e-07,5.3211096750104645e-06
RCN2,2.0,7.0,3.27156744217,2.98896241344e-07,5.3211096750104645e-06
SLC25A10,2.0,16.0,2.172319042,3.01385190777e-07,5.3397056546187019e-06
UBE2O,2.0,18.0,2.07123848503,3.11491468011e-07,5.496235168210672e-06
HN1,2.0,16.0,2.19254394379,3.13508337677e-07,5.5093355438054375e-06
COIL,2.0,8.0,3.08013563745,3.15542726883e-07,5.5226364709062149e-06
GGPS1,2.0,27.0,1.71014423817,3.28087425353e-07,5.7190400798446952e-06
SEC62,2.0,54.0,1.36672410224,3.34773772215e-07,5.8121566959194349e-06
TOP1,2.0,11.0,2.5568110218,3.46159877473e-07,5.9857966012553247e-06
EBAG9,2.0,60.0,1.2841556502,3.59545344998e-07,6.1924881530911493e-06
STX10,2.0,22.0,1.88615295363,3.72534050654e-07,6.3654731263995442e-06
CFL1,2.0,7.0,3.25729837382,3.71282814042e-07,6.3654731263995442e-06
STX16,2.0,24.0,1.76835973563,3.80107210246e-07,6.4187635542670602e-06
PML,2.0,6.0,3.51210202362,3.79865390282e-07,6.4187635542670602e-06
KIN,2.0,19.0,1.97217272202,3.79816547433e-07,6.4187635542670602e-06
POR,2.0,11.0,2.63018526448,3.84700928009e-07,6.4710588007089058e-06
MAP2K7,2.0,6.0,3.37697224061,3.91384201525e-07,6.557960865089331e-06
ZNF428,2.0,6.0,3.43659560739,3.97981320574e-07,6.6427538565354735e-06
FAM76B,2.0,11.0,2.542940052,4.03737799753e-07,6.7129173397470484e-06
SQLE,2.0,82.0,1.15576176318,4.09108129255e-07,6.776147290296052e-06
CRK,2.0,6.0,3.49823770233,4.11446638837e-07,6.7888695408093615e-06
RNMTL1,2.0,7.0,3.15076513092,4.17371986952e-07,6.8344662863448181e-06
ACAP2,2.0,41.0,1.47879597417,4.16877142802e-07,6.8344662863448181e-06
ASPSCR1,2.0,15.0,2.18030169523,4.30774165984e-07,7.0273083756636664e-06
PREP,2.0,7.0,3.21063374571,4.49123910317e-07,7.2991077605264008e-06
BAG4,2.0,10.0,2.64223430472,4.72582885921e-07,7.6515948158727888e-06
ILVBL,2.0,27.0,1.72832902545,4.76536694718e-07,7.6868213853240712e-06
MTMR12,2.0,16.0,2.14366406414,5.15607741032e-07,8.2554528314200713e-06
CTBP1,2.0,16.0,2.17662177672,5.14583590842e-07,8.2554528314200713e-06
PPP6R3,2.0,16.0,2.14571867046,5.23041038317e-07,8.3435660835508144e-06
FBXW9,2.0,15.0,2.22366165225,5.50607079161e-07,8.7510088353486241e-06
TMEM65,2.0,88.0,1.12926177366,5.58510662691e-07,8.8118306380082887e-06
ATAD3A,2.0,8.0,2.98534219388,5.57075262939e-07,8.8118306380082887e-06
CRKL,2.0,9.0,2.83563446332,5.71997205068e-07,8.9878598846555066e-06
MDH2,2.0,10.0,2.70103895144,5.73825891317e-07,8.9878598846555066e-06
PARK7,2.0,6.0,3.43966433,5.97107824308e-07,9.3187621822479925e-06
PARN,2.0,8.0,3.00646613892,6.11086109093e-07,9.5026088115470606e-06
VAPB,2.0,26.0,1.70930925661,6.52755479828e-07,1.0101400730123613e-05
CPNE1,2.0,17.0,2.08629089221,6.54266066258e-07,1.0101400730123613e-05
HLTF,2.0,28.0,1.63452646917,6.67813036969e-07,1.0273863910381615e-05
DERL1,2.0,83.0,1.13739244064,6.71364077189e-07,1.0291868459887219e-05
DDX42,2.0,17.0,2.08680650875,6.77804632878e-07,1.0317427563145826e-05
NADK2,2.0,18.0,2.00740402275,6.77609911843e-07,1.0317427563145826e-05
WDR1,2.0,9.0,2.827809853,6.81309035216e-07,1.0334382313120643e-05
AKAP8,2.0,25.0,1.75752233809,6.99083585629e-07,1.0566917275086196e-05
DECR1,2.0,39.0,1.41980132365,7.36167373119e-07,1.1011943093400698e-05
GSDMD,2.0,83.0,1.12737094623,7.34333314867e-07,1.1011943093400698e-05
LSG1,2.0,40.0,1.45702461953,7.3359489325e-07,1.1011943093400698e-05
MSTO1,2.0,27.0,1.6521589254,7.46911801621e-07,1.1134136960022691e-05
CASP2,2.0,22.0,1.8339808936,7.53132832869e-07,1.1176459034659114e-05
RB1,-2.0,21.0,-1.8352127157,7.56130338502e-07,1.1176459034659114e-05
CCDC124,2.0,14.0,2.2823449049,7.57506938967e-07,1.1176459034659114e-05
TECR,2.0,25.0,1.7819613156,7.85790114318e-07,1.1554321987070676e-05
OTUD6B,2.0,40.0,1.39849796116,7.93995410672e-07,1.1576768694331137e-05
ZADH2,-2.0,7.0,-3.14096896292,7.95350520985e-07,1.1576768694331137e-05
PARL,2.0,47.0,1.34142649102,7.94262365247e-07,1.1576768694331137e-05
APOA1BP,2.0,22.0,1.83166545757,8.16459636251e-07,1.1844144320511851e-05
PPP1R9B,2.0,13.0,2.39435286667,8.41144804881e-07,1.2161434754175608e-05
EIF4G1,2.0,48.0,1.36582412967,8.56946611603e-07,1.2348600673202946e-05
WNK1,2.0,29.0,1.59654593788,8.63580822721e-07,1.240285679941208e-05
TBCE,2.0,27.0,1.62598857856,8.70217248555e-07,1.2456785316237946e-05
EIF3K,2.0,19.0,1.96332606092,8.73611332488e-07,1.246409831797114e-05
TCF25,2.0,5.0,3.53865111147,9.15542338879e-07,1.3019373457153572e-05
CAND1,2.0,7.0,3.09216405305,9.35742627283e-07,1.3263001238501653e-05
PRDX1,2.0,14.0,2.26321168772,9.87922849865e-07,1.3956831633881244e-05
C6orf203,2.0,8.0,2.87526907417,9.92472376465e-07,1.3975433496599644e-05
CECR5,2.0,6.0,3.26215088186,1.039462119e-06,1.4542377800706376e-05
UBXN7,2.0,40.0,1.45498848109,1.03611102319e-06,1.4542377800706376e-05
BSDC1,2.0,12.0,2.41808191354,1.04727155679e-06,1.4604370774238258e-05
UBR2,2.0,16.0,2.08557701813,1.05502171882e-06,1.466514112686322e-05
STX4,2.0,6.0,3.36960377412,1.0584919506e-06,1.4666220200073355e-05
EPS15L1,2.0,22.0,1.84574249034,1.09251022463e-06,1.4936572713143159e-05
PAK4,2.0,20.0,1.88693774721,1.08513235007e-06,1.4936572713143159e-05
ZNF574,2.0,6.0,3.2899902136,1.09527956282e-06,1.4936572713143159e-05
DEK,2.0,29.0,1.57871195415,1.08451268104e-06,1.4936572713143159e-05
NAMPT,2.0,14.0,2.25144992671,1.09011376163e-06,1.4936572713143159e-05
RAB2B,2.0,8.0,2.90923406429,1.11768818978e-06,1.5194232844026924e-05
S100A11,2.0,30.0,1.56421409387,1.14118036113e-06,1.546496144564758e-05
STAU2,2.0,27.0,1.63160793801,1.15804949796e-06,1.5644524936525805e-05
LYPLA1,2.0,30.0,1.53006418879,1.1986671973e-06,1.6142798423419816e-05
MTA1,2.0,9.0,2.76979819631,1.24737585735e-06,1.674660196062944e-05
C19orf43,2.0,21.0,1.85655328881,1.27200608291e-06,1.7024403394467923e-05
DGAT1,2.0,83.0,1.10446695325,1.29693406953e-06,1.7304462909149603e-05
GYG1,2.0,27.0,1.66518655811,1.33429710604e-06,1.7748204275063326e-05
RBM28,2.0,23.0,1.73265049904,1.33879294078e-06,1.7753380009205436e-05
IMPAD1,2.0,26.0,1.63305664209,1.38595740638e-06,1.8322611216466842e-05
NUB1,2.0,23.0,1.75151924457,1.44976875922e-06,1.9107775445470384e-05
