f,f_pval,ll,px,py,rsquared,fdr,cor
21.7314713829,4.89539579705e-06,-533.618430929,COG3,COG4,0.0732361528139,0.00970617915705,0.614425733458
21.0230609251,6.94789848523e-06,-530.742836873,RPA2,RPA3,0.0722384709248,0.0131546050856,0.507008692505
20.795018194,7.58820800366e-06,-552.830397376,AP3B1,AP3M1,0.0677814728429,0.013871505893,0.486364614584
20.6911508625,7.98172661254e-06,-552.879157712,AP3S1,AP3M1,0.0674657576664,0.014104509097,0.418077921277
20.2860598154,1.17198941152e-05,-356.173657446,ASCC3,ASCC1,0.0978650461758,0.0194158358352,0.512491851776
19.915979023,1.16363350931e-05,-526.984739616,RPA2,RPA1,0.0648906553722,0.0194158358352,0.412869936763
19.5211961704,1.47638044773e-05,-484.785509605,CCNT1,CDK9,0.0716318453198,0.0237173808108,0.506225525621
19.1067199622,1.73195776262e-05,-557.327992329,EIF3A,EIF3H,0.0626230715748,0.0270047873146,0.315351131646
19.3468870966,1.78690086009e-05,-363.515515451,THOC3,TFIP11,0.0898405700563,0.0270654215131,0.0243140507342
19.1952684042,2.000300529e-05,-304.926008295,AP3B1,AP3M2,0.096364078113,0.0285874711867,0.388310769771
19.3479700135,2.06258886357e-05,-281.681298941,ERCC4,ERCC1,0.114928442629,0.0285874711867,0.59813439177
18.7095308481,2.10309051795e-05,-557.835590665,XRCC6,XRCC5,0.061200351838,0.0285874711867,0.80313268803
18.8474168724,1.97612307587e-05,-533.776927819,UBA2,SAE1,0.0626477603443,0.0285874711867,0.5819805674
18.6196613265,2.48624675558e-05,-385.25376261,GTF2H1,ERCC3,0.0836388898247,0.0327559246987,0.524002088457
18.3821823349,2.53332750956e-05,-492.628759365,SMARCA2,SMARCA4,0.0648671069699,0.0327559246987,-0.335010320844
18.2481938293,2.63998128894e-05,-551.301746372,CAPZB,CAPZA1,0.0597814964942,0.0333222209692,0.519695532568
17.9486593804,3.06090756215e-05,-549.354177372,RPS14,EEF2,0.0588579710987,0.0377367192075,0.301514375814
17.8675196928,3.31426315625e-05,-481.96013862,LMNB1,SMARCC1,0.0662084852344,0.0399315983414,0.0527235557139
17.4452812614,3.93464597472e-05,-535.167337358,AP1M1,AP1M2,0.0576807850619,0.0443802951187,-0.0681494714477
17.4920178275,3.83718038167e-05,-560.028336864,U2AF1,RPL10,0.0574465562424,0.0443802951187,0.256077592248
17.4500641017,3.92913287999e-05,-546.634543829,POLD3,POLD2,0.0578870804148,0.0443802951187,0.591955580165
17.549857448,4.17265240192e-05,-388.54330844,MPP5,INADL,0.0795731978751,0.0460843378714,0.55749328845
17.2628381454,4.29909200974e-05,-555.402434484,PPP2R2A,PPP2R1A,0.0567365973795,0.0463131073267,0.420675859337
17.7462130274,4.36808965034e-05,-287.172733493,POP1,POP4,0.107068588194,0.0463131073267,0.391441846736
17.1896578927,4.5773158374e-05,-486.245071713,POLD3,POLD1,0.0617911464535,0.0475798518604,0.519946843351
