p1,p2,cor,corum,string,biogrid,score
APOC3,A2M,0.632165342687,0,0,0,0.632165342687
APOC3,AFM,0.715151431046,0,0,0,0.715151431046
APOC3,AGT,0.717360092154,0,0,0,0.717360092154
APOC3,AHSG,0.694758643122,0,0,0,0.694758643122
APOC3,ALB,0.720600523324,0,0,1,0.720600523324
APOC3,AMBP,0.69389271912,0,0,0,0.69389271912
APOC3,APCS,0.500784680937,0,0,0,0.500784680937
APOC3,APOA1,0.830589809311,0,1,1,0.830589809311
APOC3,APOA2,0.787747183763,0,1,0,0.787747183763
APOC3,APOA4,0.656593742802,0,1,0,0.656593742802
APOC3,APOB,0.604679904272,0,1,0,0.604679904272
APOC3,APOC1,0.779433166605,0,0,0,0.779433166605
APOC3,APOC2,0.819873052697,0,1,0,0.819873052697
APOD,A1BG,0.602915523138,0,0,0,0.602915523138
APOD,A2M,0.525774725432,0,0,0,0.525774725432
APOD,AFM,0.576220588013,0,0,0,0.576220588013
APOD,AGT,0.552016284571,0,0,0,0.552016284571
APOD,AHSG,0.579916818648,0,0,0,0.579916818648
APOD,ALB,0.620824342813,0,0,0,0.620824342813
APOD,AMBP,0.581094283993,0,0,0,0.581094283993
APOD,APOA1,0.634234154082,0,1,1,0.634234154082
APOD,APOA2,0.636932011755,0,1,1,0.636932011755
APOD,APOA4,0.581063808727,0,0,0,0.581063808727
APOD,APOC1,0.591615097281,0,0,0,0.591615097281
APOD,APOC2,0.667387200557,0,0,0,0.667387200557
APOD,APOC3,0.553479132271,0,0,0,0.553479132271
APOE,AHSG,0.500208527189,0,0,0,0.500208527189
APOE,AMBP,0.529973520843,0,0,0,0.529973520843
APOF,A1BG,0.771848824476,0,0,0,0.771848824476
APOF,A2M,0.604836429074,0,0,0,0.604836429074
APOF,AFM,0.647287904282,0,0,0,0.647287904282
APOF,AGT,0.722096526237,0,0,0,0.722096526237
APOF,AHSG,0.595707235122,0,0,0,0.595707235122
APOF,ALB,0.707776644561,0,0,0,0.707776644561
APOF,AMBP,0.688542133977,0,0,0,0.688542133977
APOF,APCS,0.614102621803,0,0,0,0.614102621803
APOF,APOA1,0.748211158454,0,0,1,0.748211158454
APOF,APOA2,0.73587646967,0,0,1,0.73587646967
APOF,APOA4,0.5803375763,0,0,0,0.5803375763
APOF,APOB,0.598273217862,0,1,0,0.598273217862
APOF,APOC1,0.735857350272,0,0,0,0.735857350272
APOF,APOC2,0.715454777334,0,0,0,0.715454777334
APOF,APOC3,0.670375046554,0,0,0,0.670375046554
APOF,APOD,0.522101164678,0,0,0,0.522101164678
APOH,A1BG,0.725554828705,0,0,0,0.725554828705
APOH,A2M,0.558508712456,0,0,0,0.558508712456
APOH,AFM,0.766833962592,0,0,0,0.766833962592
APOH,AGT,0.7426541351,0,0,0,0.7426541351
APOH,AHSG,0.791478768383,0,0,0,0.791478768383
APOH,ALB,0.795961941608,0,0,0,0.795961941608
APOH,AMBP,0.796127661684,0,0,0,0.796127661684
APOH,ANG,0.567258609537,0,0,0,0.567258609537
APOH,ANGPTL2,0.599209748154,0,0,0,0.599209748154
APOH,APCS,0.604201364688,0,0,0,0.604201364688
APOH,APOA1,0.763454272845,0,0,0,0.763454272845
APOH,APOA2,0.7162103432,0,0,0,0.7162103432
APOH,APOA4,0.653691705769,0,0,0,0.653691705769
APOH,APOB,0.501208869058,0,0,0,0.501208869058
APOH,APOC1,0.652547558425,0,0,0,0.652547558425
APOH,APOC2,0.557158496504,0,0,0,0.557158496504
APOH,APOC3,0.655937921218,0,0,0,0.655937921218
APOH,APOD,0.594648246792,0,0,0,0.594648246792
APOH,APOF,0.67646528402,0,0,0,0.67646528402
APOL1,A1BG,0.596145785231,0,0,0,0.596145785231
APOL1,A2M,0.622674145705,0,0,0,0.622674145705
APOL1,AFM,0.678532782316,0,0,0,0.678532782316
APOL1,AGT,0.651018991286,0,0,0,0.651018991286
APOL1,AHSG,0.623597246856,0,0,0,0.623597246856
APOL1,ALB,0.625914108525,0,0,0,0.625914108525
APOL1,AMBP,0.589970180084,0,0,0,0.589970180084
APOL1,APOA1,0.707709593527,0,1,1,0.707709593527
APOL1,APOA2,0.675693887822,0,0,0,0.675693887822
APOL1,APOA4,0.514734579689,0,0,0,0.514734579689
APOL1,APOB,0.639965797308,0,0,0,0.639965797308
APOL1,APOC1,0.642806582865,0,0,0,0.642806582865
APOL1,APOC2,0.598764028105,0,0,0,0.598764028105
APOL1,APOC3,0.670716081959,0,0,0,0.670716081959
APOL1,APOF,0.640616380306,0,0,0,0.640616380306
APOL1,APOH,0.573547750525,0,0,0,0.573547750525
APOL2,APBB1IP,0.527972635193,0,0,0,0.527972635193
APOL3,AIF1,0.528179679671,0,0,0,0.528179679671
APOL3,ANKRD44,0.511605306891,0,0,0,0.511605306891
APOM,A1BG,0.754836578596,0,0,0,0.754836578596
APOM,A2M,0.628060674803,0,0,0,0.628060674803
APOM,AFM,0.756597639382,0,0,0,0.756597639382
APOM,AGT,0.714097428624,0,0,0,0.714097428624
APOM,AHSG,0.70579956151,0,0,0,0.70579956151
APOM,ALB,0.748608054861,0,0,0,0.748608054861
APOM,AMBP,0.742823400697,0,0,0,0.742823400697
APOM,APCS,0.512190593298,0,0,0,0.512190593298
APOM,APOA1,0.815014785779,0,0,0,0.815014785779
APOM,APOA2,0.801185006513,0,0,0,0.801185006513
APOM,APOA4,0.629938085813,0,0,0,0.629938085813
APOM,APOB,0.631988917179,0,0,0,0.631988917179
APOM,APOC1,0.698633803791,0,0,0,0.698633803791
APOM,APOC2,0.664784305496,0,0,0,0.664784305496
APOM,APOC3,0.692832454679,0,0,0,0.692832454679
APOM,APOD,0.584695583437,0,0,0,0.584695583437
APOM,APOE,0.501595710487,0,0,0,0.501595710487
APOM,APOF,0.694189388758,0,0,0,0.694189388758
APOM,APOH,0.690178475203,0,0,0,0.690178475203
APOM,APOL1,0.654064342087,0,0,0,0.654064342087
ARGLU1,ACIN1,0.50989899518,0,0,0,0.50989899518
ARHGAP1,ACTN1,0.59893180038,0,0,0,0.59893180038
ARHGAP25,ABI3,0.50301196343,0,0,0,0.50301196343
ARHGAP25,AIF1,0.5993972017,0,0,0,0.5993972017
ARHGAP25,ANKRD44,0.533662788014,0,0,0,0.533662788014
ARHGAP25,APBB1IP,0.576453873117,0,0,0,0.576453873117
ARHGAP25,APOBEC3G,0.544041118824,0,0,0,0.544041118824
ARHGAP25,APOL3,0.570721682997,0,0,0,0.570721682997
ARHGDIB,ABI3,0.560554714979,0,0,0,0.560554714979
ARHGDIB,AIF1,0.723757813374,0,0,0,0.723757813374
ARHGDIB,ALOX5,0.592439725829,0,0,0,0.592439725829
ARHGDIB,ANKRD44,0.541196005866,0,0,0,0.541196005866
ARHGDIB,APBB1IP,0.719660600243,0,0,0,0.719660600243
ARHGDIB,ARHGAP25,0.560380124227,0,1,0,0.560380124227
ARHGEF6,AIF1,0.624887451336,0,0,0,0.624887451336
ARHGEF6,ANKRD44,0.592430373844,0,0,0,0.592430373844
ARHGEF6,APBB1IP,0.615551244385,0,0,0,0.615551244385
ARHGEF6,ARHGDIB,0.514395794427,0,0,0,0.514395794427
ARMCX2,ARMCX1,0.688883388719,0,0,0,0.688883388719
ARPC1B,ACTR2,0.72721324684,1,1,1,0.72721324684
ARPC1B,ACTR3,0.746869355514,1,1,1,0.746869355514
ARPC1B,AIF1,0.53727138527,0,0,0,0.53727138527
ARPC1B,ALDH1A3,0.500681739459,0,0,0,0.500681739459
ARPC1B,ALOX5,0.510918353785,0,0,0,0.510918353785
ARPC1B,ANXA2,0.55209401189,0,0,0,0.55209401189
ARPC1B,APBB1IP,0.624214062825,0,0,0,0.624214062825
ARPC1B,ARHGDIB,0.551735837861,0,0,0,0.551735837861
ARPC2,ACTR2,0.703992117121,1,1,1,0.703992117121
ARPC2,ACTR3,0.69507755862,1,1,1,0.69507755862
ARPC2,APBB1IP,0.507473282062,0,0,0,0.507473282062
ARPC2,ARPC1B,0.756059357031,1,1,1,0.756059357031
ARPC3,ACTR2,0.733370652816,1,1,1,0.733370652816
ARPC3,ACTR3,0.583248510402,1,1,1,0.583248510402
ARPC3,APBB1IP,0.52815644878,0,0,0,0.52815644878
ARPC3,ARPC1B,0.576252795684,1,1,1,0.576252795684
ARPC3,ARPC2,0.640692096483,1,1,1,0.640692096483
ARPC4,ACTR2,0.639807016034,1,1,1,0.639807016034
ARPC4,ACTR3,0.646075494617,1,1,1,0.646075494617
ARPC4,APBB1IP,0.533823925356,0,0,0,0.533823925356
ARPC4,ARPC1B,0.641483042427,1,1,1,0.641483042427
ARPC4,ARPC2,0.688417343084,1,1,1,0.688417343084
ARPC4,ARPC3,0.565166515753,1,1,1,0.565166515753
ARPC5,ACTR2,0.6253739628,1,1,1,0.6253739628
ARPC5,ACTR3,0.646768737109,1,1,1,0.646768737109
ARPC5,APBB1IP,0.567971431841,0,0,0,0.567971431841
ARPC5,ARPC1B,0.676038501123,1,1,1,0.676038501123
ARPC5,ARPC2,0.652139177423,1,1,1,0.652139177423
ARPC5,ARPC3,0.577833385582,1,1,1,0.577833385582
ARPC5,ARPC4,0.627487656266,1,1,1,0.627487656266
ASH1L,AFM,0.538977576123,0,0,0,0.538977576123
ASPN,ABI3BP,0.562644056421,0,0,0,0.562644056421
ASPN,ACTA2,0.510229510792,0,0,0,0.510229510792
ASPN,ACTN1,0.552555446726,0,0,0,0.552555446726
ASPN,ADH1B,0.692091336337,0,0,0,0.692091336337
ASPN,AEBP1,0.552407293519,0,0,0,0.552407293519
ASPN,ANG,0.543503330733,0,0,0,0.543503330733
ASPN,AOC3,0.655047442991,0,0,0,0.655047442991
ASPN,APCS,0.538002526143,0,0,0,0.538002526143
ATP1B1,ATP1A1,0.75391384683,0,1,1,0.75391384683
ATP1B3,ATP1A1,0.511720004233,0,1,1,0.511720004233
ATP5A1,AK2,0.505159886734,0,0,0,0.505159886734
ATP5B,ATP5A1,0.901574919009,1,1,1,0.901574919009
ATP5C1,AFG3L2,0.509574037515,0,0,0,0.509574037515
ATP5C1,ATP5A1,0.712619851655,1,1,1,0.712619851655
ATP5C1,ATP5B,0.648907067601,1,1,1,0.648907067601
ATP5D,ATP5A1,0.667880876155,1,1,1,0.667880876155
ATP5D,ATP5B,0.613458729048,1,1,1,0.613458729048
ATP5E,ATP5C1,0.503074246098,1,1,0,0.503074246098
ATP5F1,ATP5A1,0.599282437042,1,1,1,0.599282437042
ATP5F1,ATP5B,0.52259280426,1,1,1,0.52259280426
ATP5F1,ATP5C1,0.685980856671,1,1,1,0.685980856671
ATP5H,ATP5A1,0.644040678232,1,1,1,0.644040678232
ATP5H,ATP5B,0.673057466466,1,1,1,0.673057466466
ATP5H,ATP5C1,0.518420649255,1,1,0,0.518420649255
ATP5H,ATP5F1,0.67249519412,1,1,1,0.67249519412
ATP5I,ATP5A1,0.623657721503,1,1,1,0.623657721503
ATP5I,ATP5C1,0.532035447674,1,1,0,0.532035447674
ATP5I,ATP5F1,0.606265711849,1,1,1,0.606265711849
ATP5I,ATP5H,0.569677182176,1,1,1,0.569677182176
ATP5J,ATP5A1,0.631884636235,1,1,0,0.631884636235
ATP5J,ATP5B,0.657571943314,1,1,0,0.657571943314
ATP5J,ATP5D,0.55218151952,1,1,1,0.55218151952
ATP5J,ATP5F1,0.528955460247,1,1,0,0.528955460247
ATP5J,ATP5H,0.561590289954,1,1,0,0.561590289954
ATP5J2-PTCD1,ATP5F1,0.516843390215,0,0,0,0.516843390215
ATP5L,ATP5A1,0.623024926339,1,1,1,0.623024926339
ATP5L,ATP5B,0.54299586583,1,1,1,0.54299586583
ATP5L,ATP5C1,0.632836272252,1,1,1,0.632836272252
ATP5L,ATP5F1,0.793954369639,1,1,1,0.793954369639
ATP5L,ATP5H,0.675086557218,1,1,1,0.675086557218
ATP5L,ATP5I,0.67215041564,1,1,1,0.67215041564
ATP5O,ATP5A1,0.834025629572,1,1,1,0.834025629572
ATP5O,ATP5B,0.791417178121,1,1,1,0.791417178121
ATP5O,ATP5C1,0.652081672103,1,1,1,0.652081672103
ATP5O,ATP5D,0.622898238327,1,1,1,0.622898238327
ATP5O,ATP5F1,0.614697986581,1,1,1,0.614697986581
ATP5O,ATP5H,0.648064294938,1,1,1,0.648064294938
ATP5O,ATP5I,0.576685640869,1,1,1,0.576685640869
ATP5O,ATP5J,0.639800491851,1,1,1,0.639800491851
ATP5O,ATP5J2-PTCD1,0.510801790655,0,0,0,0.510801790655
ATP5O,ATP5L,0.685355565448,1,1,1,0.685355565448
ATP6,ATP5F1,0.545890864981,0,0,0,0.545890864981
ATP6,ATP5L,0.536679962257,0,0,0,0.536679962257
ATP6AP2,ATP6AP1,0.567913100704,0,0,1,0.567913100704
ATP6V1B2,AIF1,0.581950183074,0,0,0,0.581950183074
ATP6V1B2,ALOX5,0.508945126487,0,0,0,0.508945126487
ATP6V1B2,APBB1IP,0.61530673533,0,0,0,0.61530673533
ATP6V1B2,ARHGDIB,0.522447649047,0,0,0,0.522447649047
ATP6V1B2,ARPC1B,0.53712435696,0,0,0,0.53712435696
ATP6V1B2,ATP6V1A,0.500420559617,0,1,1,0.500420559617
ATP6V1H,ATP6V1A,0.552198114431,0,1,1,0.552198114431
ATP6V1H,ATP6V1D,0.511992614186,0,1,1,0.511992614186
ATP8,ATP5F1,0.527346974391,0,0,1,0.527346974391
ATRN,A1BG,0.63124781958,0,0,0,0.63124781958
ATRN,A2M,0.608298484955,0,0,0,0.608298484955
ATRN,AFM,0.729557190535,0,0,0,0.729557190535
ATRN,AGT,0.625573432411,0,0,0,0.625573432411
ATRN,AHSG,0.651581582754,0,0,0,0.651581582754
ATRN,ALB,0.680132782127,0,0,0,0.680132782127
ATRN,AMBP,0.610412843227,0,0,0,0.610412843227
ATRN,APOA1,0.665524338459,0,0,0,0.665524338459
ATRN,APOA2,0.682419768257,0,0,0,0.682419768257
ATRN,APOA4,0.535196635838,0,0,0,0.535196635838
ATRN,APOB,0.508379934632,0,0,0,0.508379934632
ATRN,APOC1,0.540734268684,0,0,0,0.540734268684
ATRN,APOC3,0.543119101098,0,0,0,0.543119101098
ATRN,APOD,0.51454269432,0,0,0,0.51454269432
ATRN,APOF,0.570089022217,0,0,0,0.570089022217
ATRN,APOH,0.607662979982,0,0,0,0.607662979982
ATRN,APOL1,0.562087373269,0,0,0,0.562087373269
ATRN,APOM,0.622169974787,0,0,0,0.622169974787
AURKB,ANLN,0.577204524306,0,0,0,0.577204524306
AZGP1,A1BG,0.686571780478,0,0,0,0.686571780478
AZGP1,AFM,0.652024480954,0,0,0,0.652024480954
AZGP1,AGT,0.6909566136,0,0,0,0.6909566136
AZGP1,AHSG,0.678832889761,0,0,0,0.678832889761
AZGP1,ALB,0.704910643435,0,0,0,0.704910643435
AZGP1,AMBP,0.683857624451,0,0,0,0.683857624451
AZGP1,APOA1,0.656123666097,0,0,0,0.656123666097
AZGP1,APOA2,0.700895764899,0,0,0,0.700895764899
AZGP1,APOA4,0.643627517907,0,0,0,0.643627517907
AZGP1,APOC1,0.539568778549,0,0,0,0.539568778549
AZGP1,APOC2,0.674105239879,0,0,0,0.674105239879
AZGP1,APOC3,0.604410345085,0,0,0,0.604410345085
AZGP1,APOD,0.612200105033,0,0,0,0.612200105033
AZGP1,APOF,0.523300073125,0,0,0,0.523300073125
AZGP1,APOH,0.668475415817,0,0,0,0.668475415817
AZGP1,APOM,0.576992467413,0,0,0,0.576992467413
AZGP1,ATRN,0.592314587043,0,0,0,0.592314587043
B2M,AIF1,0.511209413311,0,0,0,0.511209413311
B2M,APBB1IP,0.521175243473,0,0,0,0.521175243473
B2M,APOL2,0.510946319161,0,0,0,0.510946319161
B2M,APOL3,0.553272836912,0,0,0,0.553272836912
B2M,ARHGDIB,0.546132067449,0,0,0,0.546132067449
BCAP31,BCAP29,0.564751752541,0,0,1,0.564751752541
BCKDHB,BCKDHA,0.5740892445,0,1,0,0.5740892445
BCLAF1,ARGLU1,0.582492656795,0,0,0,0.582492656795
BCS1L,ATIC,0.514942526702,0,0,0,0.514942526702
BDH2,ADH5,0.533402665745,0,0,0,0.533402665745
BGN,A1BG,0.528518434655,0,0,0,0.528518434655
BGN,ABI3BP,0.613229635012,0,0,0,0.613229635012
BGN,ACTN1,0.507546078353,0,0,0,0.507546078353
BGN,AEBP1,0.723015198241,0,0,0,0.723015198241
BGN,AFM,0.55545987766,0,0,0,0.55545987766
BGN,AGT,0.555532936791,0,0,0,0.555532936791
BGN,AHSG,0.563480231924,0,0,0,0.563480231924
BGN,ALB,0.588341871979,0,0,0,0.588341871979
BGN,AMBP,0.622336152526,0,0,0,0.622336152526
BGN,ANG,0.685980970696,0,0,0,0.685980970696
BGN,ANGPTL2,0.664231571892,0,0,0,0.664231571892
BGN,ANXA6,0.582148987403,0,0,0,0.582148987403
BGN,AOC3,0.513252556343,0,0,0,0.513252556343
BGN,APCS,0.598348790805,0,0,0,0.598348790805
