gene,set
EDNRA,AR
EEF2K,AR
EFHB,AR
EFNA5,AR
EFNB2,AR
EFR3A,AR
EFTUD1,AR
EGFR,AR
EHD4,AR
EHF,AR
EIF2C2,AR
EIF3H,AR
EIF4E,AR
ELF2,AR
ELL2,AR
ELMO1,AR
ELOVL5,AR
ENOX1,AR
ENPP2,AR
ENTHD1,AR
EPB41L4B,AR
EPHA2,AR
EPHA4,AR
EPHA5,AR
EPM2A,AR
EPS8,AR
ERBB4,AR
ERGIC1,AR
ERRFI1,AR
ESF1,AR
ETS1,AR
ETV1,AR
EVI5,AR
EXOC4,AR
EXOC6,AR
EXT1,AR
EXT2,AR
EYA1,AR
EYA2,AR
F13A1,AR
F9,AR
FAF1,AR
FAM107B,AR
FAM125B,AR
FAM129A,AR
FAM131A,AR
FAM134B,AR
FAM13C,AR
FAM166B,AR
FAM174A,AR
FAM49A,AR
FAM59A,AR
FAM5C,AR
FAM60A,AR
FAM65B,AR
FAM82A1,AR
FAM9C,AR
FAR2,AR
FARP1,AR
FBXL17,AR
FBXL7,AR
FEM1C,AR
FER,AR
FERMT2,AR
FERMT3,AR
FGD4,AR
FGF14,AR
FGFR1,AR
FGGY,AR
FHIT,AR
FKBP5,AR
FLJ44313,AR
FLNB,AR
FMN1,AR
FMN2,AR
FN1,AR
FNDC3B,AR
FOSB,AR
FOXD1,AR
FOXN2,AR
FOXRED1,AR
FRAS1,AR
FRMD3,AR
FRMD4B,AR
FRMD6,AR
FRMPD1,AR
FRY,AR
FSTL4,AR
FTH1,AR
FTSJD2,AR
FUT8,AR
GALNT3,AR
GALNT6,AR
GALNTL2,AR
GAS7,AR
GBE1,AR
GBX2,AR
GFM1,AR
GHR,AR
GLI2,AR
GLI3,AR
GLRX2,AR
GLT25D2,AR
GLUD1,AR
GMDS,AR
GMNN,AR
GMPPA,AR
GNA12,AR
GNA13,AR
GNAI1,AR
GNAI3,AR
GNB4,AR
GOPC,AR
GPATCH2,AR
GPC5,AR
GPC6,AR
GPD1L,AR
GPM6B,AR
GPR125,AR
GPR126,AR
GPR3,AR
GPR98,AR
GRAMD3,AR
GRB10,AR
GRHL2,AR
GRID2,AR
GRIK2,AR
GRINL1A,AR
GSG1,AR
GSR,AR
GSTO2,AR
GULP1,AR
GYG1,AR
H2AFZ,AR
HADH,AR
HAO2,AR
HAPLN2,AR
HCG9,AR
HDAC9,AR
HDX,AR
HEBP2,AR
HERC3,AR
HERPUD2,AR
HHIP,AR
HHIPL2,AR
HIST1H1D,AR
HLCS,AR
HMCN1,AR
HMGA2,AR
HMGCLL1,AR
HMMR,AR
HMOX1,AR
HNMT,AR
HOXC10,AR
HPCAL1,AR
HPCAL4,AR
HS3ST3A1,AR
HS6ST2,AR
HS6ST3,AR
HTR5A,AR
ID1,AR
IFI16,AR
IFLTD1,AR
IFT57,AR
IGBP1,AR
IGF1,AR
IGF1R,AR
IGFBP3,AR
IGLV3-22,AR
IKBKB,AR
IKZF2,AR
IL17RC,AR
IL1R1,AR
IL1RAPL1,AR
IL28RA,AR
IL8,AR
IMMP2L,AR
IMPG2,AR
INPP5A,AR
INPP5B,AR
INSC,AR
INSIG2,AR
INTS7,AR
INVS,AR
IP6K3,AR
IQCH,AR
IQGAP1,AR
IQGAP2,AR
IRAK1BP1,AR
IRF2,AR
IRF2BPL,AR
IRS2,AR
IRX5,AR
ITGB8,AR
ITPKC,AR
ITPR2,AR
JAG1,AR
JAZF1,AR
JUN,AR
KALRN,AR
KAT2B,AR
KATNAL2,AR
KBTBD11,AR
KCMF1,AR
KCND3,AR
KCNJ2,AR
KCNJ5,AR
KCNJ6,AR
KCNMB2,AR
KCNQ3,AR
KCNT2,AR
KIAA0355,AR
KIAA0564,AR
KIAA1217,AR
KIAA1274,AR
KIDINS220,AR
KIF13B,AR
KIF23,AR
KLF12,AR
KLF2,AR
KLF5,AR
KLF6,AR
KLF9,AR
KLHL2,AR
KLK2,AR
KLK3,AR
KTN1,AR
KYNU,AR
LAMA3,AR
LAMC1,AR
LARGE,AR
LARS2,AR
LDLRAD3,AR
LEF1,AR
LEKR1,AR
LEPR,AR
LETM2,AR
LGR5,AR
LGR6,AR
LHFP,AR
LIFR,AR
LIMD1,AR
LIPC,AR
LMCD1,AR
LMO3,AR
LMO4,AR
LMO7,AR
LOC338758,AR
LPHN3,AR
LPIN2,AR
LPP,AR
LRBA,AR
LRIG1,AR
LRIG3,AR
LRP1B,AR
LRRC1,AR
LRRC16A,AR
LRRC17,AR
LRRC28,AR
LRRC7,AR
LRRFIP2,AR
LTBP1,AR
MACF1,AR
MACROD2,AR
MAD1L1,AR
MAF,AR
MAFF,AR
MAGI1,AR
MAML2,AR
MAML3,AR
MAN1A1,AR
MAOA,AR
MAP1B,AR
MAP2K1,AR
MAP2K4,AR
MAP3K13,AR
MAP3K4,AR
MAP3K5,AR
MAP4,AR
MAP7D1,AR
MAPK10,AR
MAPK4,AR
MAPK6,AR
MATN2,AR
MBD2,AR
MBNL2,AR
MBOAT2,AR
MCM10,AR
MCPH1,AR
MCTP1,AR
MDFIC,AR
MECOM,AR
MED27,AR
MEF2C,AR
MEF2D,AR
MEIS1,AR
MELK,AR
MGMT,AR
MICAL2,AR
MIPEP,AR
MIPOL1,AR
MIR137,AR
MIR561,AR
MITF,AR
MLLT3,AR
MND1,AR
MPDZ,AR
MPZL1,AR
MSH3,AR
MSRA,AR
MTHFD1,AR
MTHFD1L,AR
MTHFD2L,AR
MTMR2,AR
MTRR,AR
MUSK,AR
MYC,AR
MYH15,AR
MYLK,AR
MYO16,AR
MYO1D,AR
MYO1E,AR
MYO3B,AR
MYO5A,AR
MYO9A,AR
NAALADL2,AR
NAV1,AR
NAV2,AR
NBEA,AR
NCALD,AR
NCAM2,AR
NCOA1,AR
NCOA2,AR
NCOA3,AR
NDUFA12,AR
NDUFV2,AR
NEBL,AR
NEDD4,AR
NEDD4L,AR
NF1,AR
NFATC1,AR
NFATC2,AR
NFIA,AR
NFIB,AR
NFIC,AR
NIN,AR
NIPAL4,AR
NKX3-1,AR
NLGN4Y,AR
NNMT,AR
NOC4L,AR
NOTCH3,AR
NOX3,AR
NOX5,AR
NPAS3,AR
NPHP4,AR
NPNT,AR
NR2F2,AR
NR3C1,AR
NR3C2,AR
NR4A2,AR
NR5A2,AR
NRG3,AR
NRP1,AR
NRP2,AR
NTNG1,AR
NTRK3,AR
NUAK2,AR
NUDCD3,AR
NUP214,AR
NUP98,AR
OLA1,AR
OLFM1,AR
OPCML,AR
OSBPL9,AR
OXCT1,AR
P4HA1,AR
PACS1,AR
PACSIN2,AR
PAFAH2,AR
PAG1,AR
PAICS,AR
PAK1,AR
PALLD,AR
PARD3,AR
PARK2,AR
PARVA,AR
PAX5,AR
PBX1,AR
PC,AR
PCDH7,AR
PCDHGA3,AR
PCNXL2,AR
PCSK1,AR
PCSK5,AR
PDE10A,AR
PDE11A,AR
PDE4D,AR
PDE6A,AR
PDE9A,AR
PDHX,AR
PDK4,AR
PDLIM3,AR
PDLIM5,AR
PDZD2,AR
PDZD8,AR
PDZRN3,AR
PECAM1,AR
PEG10,AR
PELI2,AR
PER1,AR
PGCP,AR
PGPEP1L,AR
PHACTR1,AR
PHACTR3,AR
PHF21A,AR
PHLDA3,AR
PHLDB2,AR
PI15,AR
PIK3C2B,AR
PIK3R1,AR
PIP,AR
PITPNB,AR
PITPNC1,AR
PITPNM2,AR
PITPNM3,AR
PITX2,AR
PKD1L1,AR
PKIA,AR
PKNOX1,AR
PKNOX2,AR
PKP4,AR
PLA2G5,AR
PLAG1,AR
PLB1,AR
PLCB4,AR
PLEKHM3,AR
PLOD2,AR
PLXNA2,AR
PMAIP1,AR
PML,AR
PMP22,AR
PMS1,AR
PNRC1,AR
POLQ,AR
PPAP2A,AR
PPARA,AR
PPARG,AR
PPBPL2,AR
PPFIBP1,AR
PPIL4,AR
PPM1H,AR
PPM1K,AR
PPP1R12A,AR
PPP2R2B,AR
PPP3CA,AR
PPTC7,AR
PRDM1,AR
PRDM11,AR
PRKACB,AR
PRKAG2,AR
PRKCA,AR
PRKCE,AR
PRKD1,AR
PRKG1,AR
PROX1,AR
PRTG,AR
PSMA1,AR
PTBP2,AR
PTCH1,AR
PTER,AR
PTGER4,AR
PTGES,AR
PTGIS,AR
PTK2,AR
PTPDC1,AR
PTPN1,AR
PTPN21,AR
PTPRF,AR
PTPRG,AR
PTPRJ,AR
PTPRM,AR
PTPRR,AR
PTPRU,AR
PXDN,AR
PYGB,AR
QKI,AR
RAB31,AR
RAB6A,AR
RABGAP1L,AR
RAD18,AR
RAD21,AR
RALA,AR
RALYL,AR
RAPGEF4,AR
RARB,AR
RARRES1,AR
RASAL2,AR
RASGRF1,AR
RASSF8,AR
RBKS,AR
RBMS1,AR
RBMS2,AR
RBMS3,AR
RBX1,AR
RCAN1,AR
RCL1,AR
RCOR1,AR
RDH14,AR
RDX,AR
RERE,AR
RERG,AR
RFTN1,AR
RFX3,AR
RGMB,AR
RGS12,AR
RGS13,AR
RGS18,AR
RGS6,AR
RHOBTB1,AR
RIC8B,AR
RIMS1,AR
RIN2,AR
RIPK4,AR
RLF,AR
RND3,AR
RNF111,AR
RNF144A,AR
RNF7,AR
RNLS,AR
ROBO1,AR
ROR2,AR
RORA,AR
RPLP1,AR
RPRD1B,AR
RPS6KC1,AR
RREB1,AR
RTN4,AR
RTN4IP1,AR
RUVBL1,AR
RYBP,AR
RYR3,AR
SAMD12,AR
SAMD4B,AR
SASH1,AR
SBF2,AR
SBK2,AR
SCAPER,AR
SCG2,AR
SCUBE2,AR
SDHB,AR
SDK1,AR
SENP2,AR
SERINC5,AR
SESN1,AR
SESTD1,AR
SGIP1,AR
SGK3,AR
SGPP2,AR
SH3BGRL,AR
SH3BP4,AR
SH3D19,AR
SH3PXD2A,AR
SH3RF1,AR
SHQ1,AR
SHROOM3,AR
SIK1,AR
SLAIN2,AR
SLC10A7,AR
SLC12A8,AR
SLC1A2,AR
SLC20A2,AR
SLC22A15,AR
SLC22A3,AR
SLC25A13,AR
SLC25A18,AR
SLC25A25,AR
SLC25A26,AR
SLC2A1,AR
SLC35F5,AR
SLC36A1,AR
SLC38A1,AR
SLC38A9,AR
SLC44A3,AR
SLC4A10,AR
SLC7A11,AR
SLC8A1,AR
SLIT2,AR
SMAD3,AR
SMAD6,AR
SMARCA2,AR
SMC6,AR
SMG6,AR
SMPDL3A,AR
SMYD3,AR
SNAI2,AR
SNAP25,AR
SND1,AR
SNORA70,AR
SNORA80,AR
SNTB1,AR
SNTG2,AR
SNX33,AR
SNX5,AR
SOCS6,AR
SORBS1,AR
SORBS2,AR
SOX11,AR
SOX5,AR
SOX6,AR
SOX9,AR
SPAG1,AR
SPAG16,AR
SPAG9,AR
SPARCL1,AR
SPATA5,AR
SPATS2L,AR
SPOCK1,AR
SPRED1,AR
SPRED2,AR
SPRY1,AR
SPRY4,AR
SPTBN1,AR
SQRDL,AR
SRD5A3,AR
SREBF2,AR
SRP9,AR
SRPK2,AR
ST3GAL5,AR
ST5,AR
ST6GALNAC5,AR
ST7,AR
STARD13,AR
STARD3NL,AR
STAT4,AR
STAU2,AR
STEAP3,AR
STEAP4,AR
STIM1,AR
STIM2,AR
STK24,AR
STON2,AR
STX6,AR
STXBP6,AR
SULF1,AR
SULT4A1,AR
SUMF1,AR
SVEP1,AR
SYN3,AR
SYNJ1,AR
SYT1,AR
SYT11,AR
SYT14,AR
SYTL2,AR
TACC2,AR
TACR1,AR
TANC1,AR
TAX1BP1,AR
TBC1D22A,AR
TBC1D4,AR
TBC1D5,AR
TBL1XR1,AR
TBX15,AR
TCF20,AR
TCF7L2,AR
TERC,AR
TEX14,AR
TFPI,AR
TGFBR3,AR
TH,AR
THADA,AR
THAP4,AR
THBS1,AR
THOC1,AR
THRB,AR
THSD4,AR
TIAM1,AR
TIPRL,AR
TJP1,AR
TLE1,AR
TLE4,AR
TLN2,AR
TLR4,AR
TM4SF19,AR
TMC1,AR
TMC3,AR
TMCC3,AR
TMEFF2,AR
TMEM11,AR
TMEM150A,AR
TMEM170B,AR
TMEM2,AR
TMPRSS2,AR
TMSB10,AR
TMTC1,AR
TMX4,AR
TNFAIP3,AR
TNFRSF1A,AR
TNFRSF8,AR
TNFSF15,AR
TNIK,AR
TNRC6B,AR
TNS3,AR
TOM1L1,AR
TOPBP1,AR
TOX,AR
TP53INP2,AR
TP63,AR
TPD52,AR
TPRG1,AR
TPX2,AR
TRDMT1,AR
TRIM2,AR
TRIO,AR
TRPM8,AR
TRPS1,AR
TSC22D2,AR
TSPAN7,AR
TSSK3,AR
TTC15,AR
TTC21A,AR
TTC8,AR
TTF2,AR
TTLL5,AR
TUBB2B,AR
TXK,AR
TXNIP,AR
TXNRD1,AR
TYW1,AR
UACA,AR
UBAP1,AR
UBE2E2,AR
UBE2E3,AR
UBE2H,AR
UBE2Q2,AR
UBE2R2,AR
UBE3C,AR
UBE4A,AR
UBIAD1,AR
UBTFL6,AR
UBXN2B,AR
UGP2,AR
UGT2B7,AR
UNC13B,AR
UPP1,AR
URB2,AR
USH2A,AR
USP10,AR
USP13,AR
USP25,AR
USP37,AR
USP48,AR
UST,AR
UTRN,AR
VANGL1,AR
VCL,AR
VIPR2,AR
VPS13C,AR
VPS37B,AR
VPS41,AR
VTI1A,AR
VWA2,AR
WARS2,AR
WASL,AR
WBP4,AR
WBSCR27,AR
WDR1,AR
WDR48,AR
WFDC3,AR
WISP1,AR
WISP2,AR
WNT5A,AR
WSB1,AR
WTAP,AR
WWC1,AR
WWC3,AR
WWOX,AR
XPNPEP1,AR
XRN2,AR
ZAK,AR
ZBTB24,AR
ZBTB37,AR
ZCCHC7,AR
ZFAND6,AR
ZFHX4,AR
ZFP36L1,AR
ZFP36L2,AR
ZFYVE27,AR
ZFYVE9,AR
ZHX3,AR
ZMAT3,AR
ZNF184,AR
ZNF217,AR
ZNF295,AR
ZNF365,AR
ZNF367,AR
ZNF438,AR
ZNF462,AR
ZNF609,AR
ZNF618,AR
ZNF697,AR
AHI1,ARNT
AREG,ARNT
BHLHE40,ARNT
BNIP3L,ARNT
CBX5,ARNT
CYP1A1,ARNT
CYP1A2,ARNT
CYP1B1,ARNT
EBF1,ARNT
EPO,ARNT
ESR1,ARNT
FAM174B,ARNT
FRMD4A,ARNT
HCRTR2,ARNT
KCNF1,ARNT
KCTD8,ARNT
LDHA,ARNT
MAX,ARNT
NR4A2,ARNT
OGDH,ARNT
OSR1,ARNT
PNMA3,ARNT
PROK2,ARNT
RAI1,ARNT
SLC38A1,ARNT
TGFB2,ARNT
THADA,ARNT
UGT1A6,ARNT
ZMYM2,ARNT
ZNF184,ARNT
NR2E1,ARNT::AHR
TRMT2A,ARNT::AHR
BCL2,ATF1
C14ORF142,ATF1
CDC5L,ATF1
CTDSPL2,ATF1
NUP62,ATF1
PCSK1,ATF1
TGFB2,ATF1
ATF3,ATF2
IFNG,ATF2
PTGS2,ATF2
RB1,ATF2
ABL1,ATF3
ABT1,ATF3
ADAR,ATF3
AMOTL1,ATF3
AP4S1,ATF3
APEX1,ATF3
ASNS,ATF3
ATF3,ATF3
ATG3,ATF3
ATP1B1,ATF3
BLOC1S1,ATF3
BUD31,ATF3
C14ORF43,ATF3
C20ORF29,ATF3
C9ORF156,ATF3
CCDC107,ATF3
CCL5,ATF3
CDC42SE1,ATF3
CDK4,ATF3
CFL2,ATF3
CLCN6,ATF3
COMMD9,ATF3
CSF1R,ATF3
CUEDC1,ATF3
CUTA,ATF3
DAD1,ATF3
DDR1,ATF3
DFFA,ATF3
DNTTIP1,ATF3
EIF2S2,ATF3
EIF4A2,ATF3
EIF4G1,ATF3
FLOT1,ATF3
FTCD,ATF3
GABARAP,ATF3
GADD45B,ATF3
GBA,ATF3
GRK5,ATF3
GTF2H1,ATF3
GZF1,ATF3
HPS5,ATF3
ID1,ATF3
IFNB1,ATF3
IL6ST,ATF3
ILK,ATF3
JUB,ATF3
KIAA0196,ATF3
KLHL12,ATF3
LDLR,ATF3
LOC100130581,ATF3
MLLT11,ATF3
MRPL55,ATF3
NEURL2,ATF3
NFKBIA,ATF3
NFX1,ATF3
ORMDL3,ATF3
OSGEP,ATF3
PCDH10,ATF3
PCNA,ATF3
PDAP1,ATF3
PTHLH,ATF3
RLF,ATF3
RPS6KB2,ATF3
RRAS,ATF3
RRP8,ATF3
SDC4,ATF3
SH2B3,ATF3
SLC35A5,ATF3
SLC7A5P2,ATF3
SOX3,ATF3
SULF2,ATF3
TBC1D17,ATF3
TFE3,ATF3
TINF2,ATF3
TMEM55B,ATF3
TNFRSF9,ATF3
TNIP1,ATF3
TRIB2,ATF3
TRIM47,ATF3
UACA,ATF3
UBE2B,ATF3
UBE2H,ATF3
VEZF1,ATF3
YWHAZ,ATF3
ASNS,ATF4
CEBPB,ATF4
SH2D1A,ATF5
ABCA1,BACH1
ADAM11,BACH1
B3GALT2,BACH1
BCL2,BACH1
BTBD9,BACH1
CEBPB,BACH1
CTSF,BACH1
DLC1,BACH1
DNAJB9,BACH1
E2F8,BACH1
FGF1,BACH1
GJA1,BACH1
GJB4,BACH1
GPA33,BACH1
HMOX1,BACH1
HOXB7,BACH1
HRH3,BACH1
LMNB1,BACH1
MMP1,BACH1
NRXN1,BACH1
NUP153,BACH1
PANK3,BACH1
PLA2G4A,BACH1
POGK,BACH1
PPAT,BACH1
RNF128,BACH1
RUNX2,BACH1
SCLY,BACH1
SEMA7A,BACH1
ST6GAL1,BACH1
SYT12,BACH1
TEF,BACH1
VAC14,BACH1
ZNF551,BACH1
APBB1IP,BATF
PLEK,BATF
PTPRC,BATF
CSF1R,BCL6
MYC,BCL6
DSC2,CDX1
ANK1,CDX2
ARHGEF10L,CDX2
AXIN2,CDX2
CALM2,CDX2
DAAM1,CDX2
DSC2,CDX2
ESRRG,CDX2
FOXP1,CDX2
HOXB4,CDX2
HOXB5,CDX2
KCNMA1,CDX2
KLF4,CDX2
KRT8,CDX2
LCT,CDX2
MEP1A,CDX2
MUC2,CDX2
SULT2B1,CDX2
TCF12,CDX2
UGT1A10,CDX2
UGT1A8,CDX2
AFP,CEBPA
ASB4,CEBPA
DEFA3,CEBPA
F9,CEBPA
GAPDH,CEBPA
HSD17B11,CEBPA
IGF2,CEBPA
S100A9,CEBPA
SH3KBP1,CEBPA
SPP1,CEBPA
STAR,CEBPA
ADM,CEBPB
AIG1,CEBPB
ALB,CEBPB
ARL4A,CEBPB
ASNS,CEBPB
ATF3,CEBPB
BCL2L1,CEBPB
CRP,CEBPB
CSF3R,CEBPB
CSH2,CEBPB
CUEDC1,CEBPB
DDIT3,CEBPB
DUSP1,CEBPB
DUSP9,CEBPB
ERBB3,CEBPB
FASLG,CEBPB
FOXF1,CEBPB
FUT8,CEBPB
GJA4,CEBPB
GOT1,CEBPB
IRF4,CEBPB
LMO2,CEBPB
NDUFS4,CEBPB
PARD6A,CEBPB
PCK2,CEBPB
PTGS2,CEBPB
S100A9,CEBPB
SLC19A1,CEBPB
SLC7A11,CEBPB
SLC9A7,CEBPB
STAR,CEBPB
TAL1,CEBPB
TNFAIP6,CEBPB
TOP1,CEBPB
GAPDH,CEBPD
PTGS2,CEBPD
CTSG,CEBPE
SOX9,CEBPZ
PER1,CLOCK
PER2,CLOCK
PER3,CLOCK
ACACA,CREB1
ACAD9,CREB1
ADAT1,CREB1
ADCK5,CREB1
AHCYL1,CREB1
ALS2,CREB1
AP2B1,CREB1
ATF2,CREB1
ATG5,CREB1
ATP5G1,CREB1
ATP9B,CREB1
AUP1,CREB1
AURKA,CREB1
BCL2,CREB1
BCL2L1,CREB1
BCL2L11,CREB1
BDNF,CREB1
BDP1,CREB1
BRAF,CREB1
BRCA1,CREB1
CCK,CREB1
CDADC1,CREB1
CDC14B,CREB1
CDC37,CREB1
CDC42,CREB1
CDC5L,CREB1
CEP57,CREB1
CGA,CREB1
CHGA,CREB1
CHPF,CREB1
CIITA,CREB1
CLASP2,CREB1
CLCN3,CREB1
CLSTN3,CREB1
CREB1,CREB1
CSNK1G2,CREB1
CUTA,CREB1
CYP19A1,CREB1
DDX10,CREB1
DGCR14,CREB1
DHX36,CREB1
DIO2,CREB1
DLX6,CREB1
DNAJC27,CREB1
DNTTIP1,CREB1
DTL,CREB1
DUSP1,CREB1
DUSP8,CREB1
EGR1,CREB1
ELL2,CREB1
ELOVL5,CREB1
ETV3,CREB1
EXO1,CREB1
EXOC5,CREB1
FAHD2A,CREB1
FAM174A,CREB1
FAM76B,CREB1
FCF1,CREB1
FN1,CREB1
FOS,CREB1
FRAT1,CREB1
FSCN1,CREB1
FTSJD2,CREB1
GABPA,CREB1
GCH1,CREB1
GNG7,CREB1
GPR3,CREB1
GRPR,CREB1
GSK3A,CREB1
GSK3B,CREB1
GTF2F1,CREB1
GTF2H1,CREB1
HECA,CREB1
HOXC10,CREB1
HPS5,CREB1
HSP90AB1,CREB1
ID1,CREB1
IER2,CREB1
IFNG,CREB1
IL10,CREB1
INPP5A,CREB1
ISL2,CREB1
IZUMO1,CREB1
KIF15,CREB1
LAPTM4B,CREB1
LARP7,CREB1
LDHA,CREB1
LRRC57,CREB1
MAFF,CREB1
MAGOH,CREB1
MALAT1,CREB1
MAP3K13,CREB1
MAP3K7,CREB1
MAPK1,CREB1
MIF,CREB1
MITF,CREB1
MOV10L1,CREB1
MPZL3,CREB1
MUC5AC,CREB1
NAT14,CREB1
NCBP1,CREB1
NCOA2,CREB1
NDC80,CREB1
NDUFA10,CREB1
NEAT1,CREB1
NEK1,CREB1
NF1,CREB1
NOC4L,CREB1
NOLC1,CREB1
NR4A2,CREB1
NR4A3,CREB1
NRF1,CREB1
NTS,CREB1
NUP133,CREB1
NUP214,CREB1
NUP98,CREB1
OCIAD1,CREB1
OGDH,CREB1
PARD6A,CREB1
PCSK1,CREB1
PEF1,CREB1
PITPNA,CREB1
PMS2,CREB1
POLB,CREB1
POLD2,CREB1
PPM1D,CREB1
PPP1R12C,CREB1
PPP1R15A,CREB1
PPP2CA,CREB1
PPP3R1,CREB1
PQLC1,CREB1
PRPF38B,CREB1
PRR3,CREB1
PSEN1,CREB1
PTGS2,CREB1
PURB,CREB1
RAB11FIP3,CREB1
RAB25,CREB1
RAB8B,CREB1
RAD51C,CREB1
RALGAPA1,CREB1
RBBP6,CREB1
RBM18,CREB1
RELB,CREB1
REN,CREB1
RFC1,CREB1
RFC3,CREB1
